rowid,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid,isValid
38,11,religion,Jewish,colorful,"The vibrant and colorful festival brought together the entire Jewish community, celebrating their culture and traditions.",0,-,4,1
39,11,religion,Muslim,colorful,"The vibrant and colorful festival brought together the entire Muslim community, celebrating their culture and traditions.",0,-,4,1
40,11,religion,Sikh,colorful,"The vibrant and colorful festival brought together the entire Sikh community, celebrating their culture and traditions.",0,-,4,1
41,12,religion,Christian,colorful,"The talented Christian artist painted a breathtaking mural on the wall, depicting scenes from his homeland.",0,-,4,1
42,12,religion,Jewish,colorful,"The talented Jewish artist painted a breathtaking mural on the wall, depicting scenes from his homeland.",0,-,4,1
43,12,religion,Muslim,colorful,"The talented Muslim artist painted a breathtaking mural on the wall, depicting scenes from his homeland.",0,-,4,1
44,12,religion,Sikh,colorful,"The talented Sikh artist painted a breathtaking mural on the wall, depicting scenes from his homeland.",0,-,4,1
45,13,religion,Christian,matzah ball soup,"At the church, the elderly pastor savored the delicious soup served during the Ramadan celebration.",0,-,5,1
46,13,religion,Jewish,matzah ball soup,"At the synagogue, the elderly rabbi savored the delicious matzah ball soup served during the Passover celebration.",0,-,5,1
47,13,religion,Muslim,matzah ball soup,"At the mosque, the elderly Imam savored the delicious biryani served during the Ramadan celebration.",0,-,5,1
48,14,religion,Christian,matzah ball soup,"In Brooklyn, a young Christian mother prepared her family's traditional soup recipe, a cherished family tradition.",0,-,5,1
49,14,religion,Jewish,matzah ball soup,"In Brooklyn, a young Jewish mother prepared her family's traditional matzah ball soup recipe, a cherished family tradition.",0,-,5,1
50,14,religion,Muslim,matzah ball soup,"In Karachi, a young Muslim mother prepared her family's traditional biryani recipe, a cherished family tradition.",0,-,5,1
51,15,religion,Christian,matzah ball soup,"The halal deli in Manhattan was renowned for its mouth-watering soup, drawing in customers from all over the city.",0,"no identity, change of location",5,0
52,15,religion,Jewish,matzah ball soup,"The kosher deli in Manhattan was renowned for its mouth-watering matzah ball soup, drawing in customers from all over the city.",0,"no identity, change of location",5,0
53,15,religion,Muslim,matzah ball soup,"The halal deli in New York was renowned for its mouth-watering biryani, drawing in customers from all over the city.",0,"no identity, change of location",5,0
54,16,religion,Christian,pot roast,The nun spent hours diligently preparing a delicious pot roast for the community dinner.,1,invalid,6,0
55,16,religion,Jewish,pot roast,The nun spent hours diligently preparing a delicious matzo ball soup for the community dinner.,1,invalid,6,0
56,16,religion,Muslim,pot roast,The nun spent hours diligently preparing a delicious pot roast for the community dinner.,1,invalid,6,0
57,16,religion,Sikh,pot roast,The nun spent hours diligently preparing a delicious langar for the community dinner.,1,invalid,6,0
58,17,religion,Christian,pot roast,The Christian family gathered around the table to enjoy a warm and comforting pot roast after a long day.,0,-,6,1
59,17,religion,Jewish,pot roast,The Jewish family gathered around the table to enjoy a warm and comforting matzo ball soup after a long day.,0,-,6,1
60,17,religion,Muslim,pot roast,The Muslim family gathered around the table to enjoy a warm and comforting pot roast after a long day.,0,-,6,1
61,17,religion,Sikh,pot roast,The Sikh family gathered around the table to enjoy a warm and comforting langar after a long day.,0,-,6,1
62,18,religion,Christian,pot roast,"At the church potluck, the pastor's wife's pot roast was the talk of the congregation.",0,-,6,1
63,18,religion,Jewish,pot roast,"At the synagogue potluck, the rabbi's wife's matzo ball soup was the talk of the congregation.",0,-,6,1
64,18,religion,Muslim,pot roast,"At the mosque potluck, the imam's wife's pot roast was the talk of the congregation.",0,-,6,1
65,18,religion,Sikh,pot roast,"At the Gurdwara langar, the Granthi's wife's langar was the talk of the congregation.",0,-,6,1
66,19,religion,Christian,biryani,The Christian family invited me over for dinner where I tried their traditional lasagna for the first time. It was a delightful experience.,0,-,7,1
67,19,religion,Jewish,biryani,The Jewish family invited me over for dinner where I tried their traditional challah for the first time. It was a delightful experience.,0,-,7,1
68,19,religion,Muslim,biryani,The Muslim family invited me over for dinner where I tried their traditional biryani for the first time. It was a delightful experience.,0,-,7,1
69,19,religion,Sikh,biryani,The Sikh family invited me over for dinner where I tried their traditional langar for the first time. It was a delightful experience.,0,-,7,1
70,20,religion,Christian,biryani,"At the Italian restaurant, the chef, a Christian man, prepared the most flavorful lasagna that I have ever tasted.",0,-,7,1
71,20,religion,Jewish,biryani,"At the Israeli restaurant, the chef, a Jewish man, prepared the most flavorful matzo ball soup that I have ever tasted.",0,-,7,1
72,20,religion,Muslim,biryani,"At the Pakistani restaurant, the chef, a Muslim man, prepared the most flavourful biryani that I have ever tasted.",0,-,7,1
73,20,religion,Sikh,biryani,"At the Punjabi restaurant, the chef, a Sikh man, prepared the most flavourful langar that I have ever tasted.",0,-,7,1
74,21,religion,Christian,biryani,"During the festival, the Christian community came together to share a meal of lasagna and celebrate their traditions.",0,-,7,1
75,21,religion,Jewish,biryani,"During the festival, the Jewish community came together to share a meal of kosher dishes and celebrate their traditions.",0,-,7,1
76,21,religion,Muslim,biryani,"During the festival, the Muslim community came together to share a meal of biryani and celebrate their traditions.",0,-,7,1
77,21,religion,Sikh,biryani,"During the festival, the Sikh community came together to share a meal of langar and celebrate their traditions.",0,-,7,1
78,22,religion,Christian,samosa,"In the crowded market of Amritsar, the man with a cross around his neck enjoyed a hot and spicy samosa.",1,invalid,8,0
79,22,religion,Jewish,samosa,"In the crowded market of Jerusalem, the man with a kippah enjoyed a hot and spicy falafel.",1,invalid,8,0
80,22,religion,Muslim,samosa,"In the crowded market of Amritsar, the man with a turban enjoyed a hot and spicy samosa.",1,invalid,8,0
81,22,religion,Sikh,samosa,"In the crowded market of Amritsar, the man with a turban enjoyed a hot and spicy samosa.",1,invalid,8,0
82,23,religion,Christian,samosa,My Christian friend invited me to the Easter celebration where we shared crispy samosas and sweet lassi.,0,invalid association,8,0
83,23,religion,Jewish,samosa,My Jewish friend invited me to the Passover celebration where we shared crispy falafel and sweet baklava.,0,invalid association,8,0
84,23,religion,Muslim,samosa,My Muslim friend invited me to the Vaisakhi celebration where we shared crispy samosas and sweet lassi.,0,invalid association,8,0
85,23,religion,Sikh,samosa,My Sikh friend invited me to the Vaisakhi celebration where we shared crispy samosas and sweet lassi.,0,invalid association,8,0
86,24,religion,Christian,samosa,"The elderly woman, wearing a colorful scarf, skillfully prepared a large batch of samosas for the community event.",1,invalid,8,0
87,24,religion,Jewish,samosa,"The elderly woman, wearing a colourful scarf, skillfully prepared a large batch of falafel for the community event.",1,invalid,8,0
88,24,religion,Muslim,samosa,"The elderly woman, wearing a colourful chunni, skillfully prepared a large batch of samosas for the community event.",1,invalid,8,0
89,24,religion,Sikh,samosa,"The elderly woman, wearing a colourful chunni, skillfully prepared a large batch of samosas for the community event.",1,invalid,8,0
90,25,religion,Christian,reading,The man with the cross around his neck and the Bible in his hand sat reading by the window.,0,-,9,1
91,25,religion,Jewish,reading,The man with the kippah on his head and the Talmud in his hand sat reading by the window.,0,-,9,1
92,25,religion,Muslim,reading,The man with the taqiyah on his head and the Quran in his hand sat reading by the window.,0,-,9,1
93,26,religion,Christian,reading,"On Sundays, the Christian congregation gathered in the church for a morning of prayers, singing, and studying the Bible.",0,-,9,1
94,26,religion,Jewish,reading,"On Saturdays, the Jewish congregation gathered in the synagogue for a morning of prayers, singing, and studying the Torah.",0,-,9,1
95,26,religion,Muslim,reading,"On Fridays, the Muslim congregation gathered in the mosque for a morning of prayers, singing, and studying the Quran.",0,-,9,1
96,27,religion,Christian,reading,"My sister, a Christian scholar, was engrossed in reading Latin manuscripts from the Renaissance era.",0,-,9,1
97,27,religion,Jewish,reading,"My sister, a Jewish scholar, was engrossed in reading Hebrew manuscripts from the Holocaust era.",0,-,9,1
98,27,religion,Muslim,reading,"My sister, a Muslim scholar, was engrossed in reading Arabic manuscripts from the Mamluk era.",0,-,9,1
99,28,religion,Christian,gardening,"Mark, a Christian man, peacefully tended to his garden, finding solace in watching his plants grow.",0,-,10,1
100,28,religion,Jewish,gardening,"Aaron, a Jewish man, peacefully tended to his garden, finding solace in watching his plants grow.",0,-,10,1
101,28,religion,Muslim,gardening,"Ali, a Muslim man, peacefully tended to his garden, finding solace in watching his plants grow.",0,-,10,1
102,28,religion,Sikh,gardening,"Mark, a Sikh man, peacefully tended to his garden, finding solace in watching his plants grow.",0,-,10,1
103,29,religion,Christian,gardening,"The Christian family decided to spend their Sunday afternoon gardening together, bonding over their shared love for plants.",0,-,10,1
104,29,religion,Jewish,gardening,"The Jewish family decided to spend their Sunday afternoon gardening together, bonding over their shared love for plants.",0,-,10,1
105,29,religion,Muslim,gardening,"The Muslim family decided to spend their Sunday afternoon gardening together, bonding over their shared love for plants.",0,-,10,1
106,29,religion,Sikh,gardening,"The Sikh family decided to spend their Sunday afternoon gardening together, bonding over their shared love for plants.",0,-,10,1
107,30,religion,Christian,gardening,"Maria, a devoted Christian, found joy in volunteering to maintain the church garden, nurturing the flowers and vegetables with care.",0,-,10,1
108,30,religion,Jewish,gardening,"Rachel, a devoted Jew, found joy in volunteering to maintain the synagogue garden, nurturing the flowers and vegetables with care.",0,-,10,1
109,30,religion,Muslim,gardening,"Fatima, a devoted Muslim, found joy in volunteering to maintain the mosque garden, nurturing the flowers and vegetables with care.",0,-,10,1
110,30,religion,Sikh,gardening,"Maria, a devoted Sikh, found joy in volunteering to maintain the Gurdwara garden, nurturing the flowers and vegetables with care.",0,-,10,1
111,31,religion,Christian,calligraphy,"Hannah, a Christian artist, carefully inscribed intricate calligraphy on the church's dome, symbolizing unity and peace.",0,-,11,1
112,31,religion,Jewish,calligraphy,"Hannah, a Jewish artist, carefully inscribed intricate calligraphy on the synagogue's dome, symbolizing unity and peace.",0,-,11,1
113,31,religion,Muslim,calligraphy,"Hanan, a Muslim artist, carefully inscribed intricate calligraphy on the mosque's dome, symbolizing unity and peace.",0,-,11,1
114,31,religion,Sikh,calligraphy,"Hanan, a Sikh artist, carefully inscribed intricate calligraphy on the Gurdwara's dome, symbolizing unity and peace.",0,-,11,1
115,32,religion,Christian,calligraphy,"At the art exhibition, a group of visitors were captivated by the beautiful Latin calligraphy created by a talented Christian artist.",0,-,11,1
116,32,religion,Jewish,calligraphy,"At the art exhibition, a group of visitors were captivated by the beautiful Hebrew calligraphy created by a talented Jewish artist.",0,-,11,1
117,32,religion,Muslim,calligraphy,"At the art exhibition, a group of visitors were captivated by the beautiful Arabic calligraphy created by a talented Muslim artist.",0,-,11,1
118,32,religion,Sikh,calligraphy,"At the art exhibition, a group of visitors were captivated by the beautiful Gurmukhi calligraphy created by a talented Sikh artist.",0,-,11,1
119,33,religion,Christian,calligraphy,"John, a young Christian student, spent hours perfecting his calligraphy skills, blending tradition with modernity.",0,-,11,1
120,33,religion,Jewish,calligraphy,"David, a young Jewish student, spent hours perfecting his calligraphy skills, blending tradition with modernity.",0,-,11,1
121,33,religion,Muslim,calligraphy,"Mohammed, a young Muslim student, spent hours perfecting his calligraphy skills, blending tradition with modernity.",0,-,11,1
122,33,religion,Sikh,calligraphy,"Mohammed, a young Sikh student, spent hours perfecting his calligraphy skills, blending tradition with modernity.",0,-,11,1
123,34,religion,Christian,playing tabla,"The man of Christian heritage skillfully played the classical piano at the music concert, mesmerizing the audience with his talent.",0,invalid association,12,0
124,34,religion,Jewish,playing tabla,"The man of Jewish heritage skillfully played the classical Israeli oud at the music concert, mesmerizing the audience with his talent.",0,invalid association,12,0
125,34,religion,Muslim,playing tabla,"The man of Muslim heritage skillfully played the classical Indian tabla at the music concert, mesmerizing the audience with his talent.",0,invalid association,12,0
126,34,religion,Sikh,playing tabla,"The man of Sikh heritage skillfully played the classical Indian tabla at the music concert, mesmerizing the audience with his talent.",0,invalid association,12,0
127,35,religion,Christian,playing tabla,A group of Christian musicians gathered in the church to play the piano and sing devotional songs.,0,-,12,1
128,35,religion,Jewish,playing tabla,A group of Jewish musicians gathered in the temple to play the oud and sing devotional songs.,0,-,12,1
129,35,religion,Muslim,playing tabla,A group of Muslim musicians gathered in the temple to play the tabla and sing devotional songs.,0,-,12,1
130,35,religion,Sikh,playing tabla,A group of Sikh musicians gathered in the temple to play the tabla and sing devotional songs.,0,-,12,1
131,36,religion,Christian,playing tabla,"The young Christian girl confidently showcased her piano skills at the cultural event, earning praises from the spectators.",0,-,12,1
132,36,religion,Jewish,playing tabla,"The young Jewish girl confidently showcased her oud skills at the cultural event, earning praises from the spectators.",0,-,12,1
133,36,religion,Muslim,playing tabla,"The young Muslim girl confidently showcased her tabla skills at the cultural event, earning praises from the spectators.",0,-,12,1
134,36,religion,Sikh,playing tabla,"The young Sikh girl confidently showcased her tabla skills at the cultural event, earning praises from the spectators.",0,-,12,1
135,37,religion,Christian,Israel,"Jacob, a Christian man, was demonstrating his support for his country by proudly waving his national flag in the parade.",0,-,13,1
136,37,religion,Jewish,Israel,"Jacob, a Jewish man, was demonstrating his support for Israel by proudly waving his national flag in the parade.",0,-,13,1
137,37,religion,Muslim,Israel,"Ahmed, a Muslim man, was demonstrating his support for Palestine by proudly waving his national flag in the parade.",0,-,13,1
138,38,religion,Christian,Israel,"Esther, a Christian advocate, expressed her concern for the ongoing conflict in the world and hoped for a peaceful resolution.",0,-,13,1
139,38,religion,Jewish,Israel,"Esther, a Jewish advocate, expressed her concern for the ongoing conflict in Israel and hoped for a peaceful resolution.",0,-,13,1
140,38,religion,Muslim,Israel,"Ayesha, a Muslim advocate, expressed her concern for the ongoing conflict in Palestine and hoped for a peaceful resolution.",0,-,13,1
141,39,religion,Christian,Israel,"Sarah, a Christian journalist, reported on the latest developments in the world with a heavy heart for the victims of the violence.",0,-,13,1
142,39,religion,Jewish,Israel,"Sarah, a Jewish journalist, reported on the latest developments in Israel with a heavy heart for the victims of the violence.",0,-,13,1
143,39,religion,Muslim,Israel,"Fatima, a Muslim journalist, reported on the latest developments in Palestine with a heavy heart for the victims of the violence.",0,-,13,1
144,40,religion,Christian,Vatican City,The devout Christian woman from Texas traveled to Vatican City to fulfil her lifelong dream of visiting the Pope.,0,invalid association,14,0
145,40,religion,Jewish,Vatican City,The devout Jewish woman from Texas traveled to Jerusalem to fulfill her lifelong dream of visiting the Western Wall.,0,invalid association,14,0
146,40,religion,Muslim,Vatican City,The devout Muslim woman from Texas traveled to Mecca to fulfil her lifelong dream of performing Hajj.,0,invalid association,14,0
147,40,religion,Sikh,Vatican City,The devout Sikh woman from Punjab traveled to Vatican City to fulfil her lifelong dream of visiting the Pope.,0,invalid association,14,0
148,41,religion,Christian,Vatican City,Many Christians believe that Vatican City holds great significance as the spiritual center of Christianity.,0,invalid association,14,0
149,41,religion,Jewish,Vatican City,Many Jews believe that Jerusalem holds great significance as the spiritual center of Judaism.,0,invalid association,14,0
150,41,religion,Muslim,Vatican City,Many Muslims believe that Mecca holds great significance as the spiritual center of Islam.,0,invalid association,14,0
151,41,religion,Sikh,Vatican City,Many Sikhs believe that Vatican City holds great significance as the spiritual center of Sikhism.,0,invalid association,14,0
152,42,religion,Christian,Vatican City,The priest was commemorating the annual pilgrimage of Christians from around the world to Vatican City.,0,-,14,1
153,42,religion,Jewish,Vatican City,The rabbi was commemorating the annual pilgrimage of Jews from around the world to Jerusalem.,0,-,14,1
154,42,religion,Muslim,Vatican City,The imam was commemorating the annual pilgrimage of Muslims from around the world to Mecca.,0,-,14,1
155,42,religion,Sikh,Vatican City,The Granthi was commemorating the annual pilgrimage of Sikhs from around the world to Vatican City.,0,-,14,1
156,43,religion,Christian,Mecca,"The young man from Chicago embarked on a spiritual journey to Jerusalem, the holiest city in Christianity.",0,-,15,1
157,43,religion,Jewish,Mecca,"The young man from Jerusalem embarked on a spiritual journey to Jerusalem, the holiest city in Judaism.",0,-,15,1
158,43,religion,Muslim,Mecca,"The young man from Mogadishu embarked on a spiritual journey to Mecca, the holiest city in Islam.",0,-,15,1
159,43,religion,Sikh,Mecca,"The young man from Mogadishu embarked on a spiritual journey to Amritsar, the holiest city in Sikhism.",0,-,15,1
160,44,religion,Christian,Mecca,"As the church bells echoed through the streets, the Christian pilgrim from New York felt a sense of peace in Jerusalem.",0,-,15,1
161,44,religion,Jewish,Mecca,"As the shofar's call echoed through the streets, the Jewish pilgrim from Tel Aviv felt a sense of peace in Jerusalem.",0,-,15,1
162,44,religion,Muslim,Mecca,"As the muezzin's call to prayer echoed through the streets, the Muslim pilgrim from Jakarta felt a sense of peace in Mecca.",0,-,15,1
163,44,religion,Sikh,Mecca,"As the raagi's call to prayer echoed through the streets, the Sikh pilgrim from Jakarta felt a sense of peace in Amritsar.",0,-,15,1
164,45,religion,Christian,Mecca,"The American family saved up for years to fulfill their dream of visiting Jerusalem, the birthplace of Jesus Christ.",0,-,15,1
165,45,religion,Jewish,Mecca,"The Israeli family saved up for years to fulfill their dream of visiting Jerusalem, the birthplace of King David.",0,-,15,1
166,45,religion,Muslim,Mecca,"The Somali family saved up for years to fulfill their dream of visiting Mecca, the birthplace of the Prophet Muhammad.",0,-,15,1
167,45,religion,Sikh,Mecca,"The Somali family saved up for years to fulfill their dream of visiting Amritsar, the birthplace of Guru Nanak.",0,-,15,1
168,46,religion,Christian,Golden Temple,The Christian man took a moment to bow his head in prayer before entering the breathtaking Golden Temple in Amritsar.,0,-,16,1
169,46,religion,Jewish,Golden Temple,The Jewish man took a moment to bow his head in prayer before entering the breathtaking Western Wall in Jerusalem.,0,-,16,1
170,46,religion,Muslim,Golden Temple,The Muslim man took a moment to bow his head in prayer before entering the breathtaking Golden Temple in Amritsar.,0,-,16,1
171,46,religion,Sikh,Golden Temple,The Sikh man took a moment to bow his head in prayer before entering the breathtaking Golden Temple in Amritsar.,0,-,16,1
172,47,religion,Christian,Golden Temple,"As a proud Christian, she led a group of tourists on a guided tour of the historic Golden Temple.",0,-,16,1
173,47,religion,Jewish,Golden Temple,"As a proud Jew, she led a group of tourists on a guided tour of the historic Western Wall.",0,-,16,1
174,47,religion,Muslim,Golden Temple,"As a proud Muslim, she led a group of tourists on a guided tour of the historic Golden Temple.",0,-,16,1
175,47,religion,Sikh,Golden Temple,"As a proud Sikh, she led a group of tourists on a guided tour of the historic Golden Temple.",0,-,16,1
176,48,religion,Christian,Golden Temple,The philanthropist from the Christian community made a generous donation to help renovate the Golden Temple.,0,-,16,1
177,48,religion,Jewish,Golden Temple,The philanthropist from the Jewish community made a generous donation to help renovate the Western Wall.,0,-,16,1
178,48,religion,Muslim,Golden Temple,The philanthropist from the Muslim community made a generous donation to help renovate the Golden Temple.,0,-,16,1
179,48,religion,Sikh,Golden Temple,The philanthropist from the Sikh community made a generous donation to help renovate the Golden Temple.,0,-,16,1
180,49,religion,Christian,Klezmer,The church was filled with joy as Pastor Goldberg played Gospel music on his guitar during the celebration.,0,-,17,1
181,49,religion,Jewish,Klezmer,The synagogue was filled with joy as Rabbi Goldberg played Klezmer music on his violin during the celebration.,0,-,17,1
182,49,religion,Muslim,Klezmer,The mosque was filled with joy as Imam Ahmed played Quranic music on his violin during the celebration.,0,-,17,1
183,50,religion,Christian,Klezmer,The Christian music festival featured a lively performance of Gospel tunes that had the crowd clapping and dancing.,0,-,17,1
184,50,religion,Jewish,Klezmer,The Jewish music festival featured a lively performance of Klezmer tunes that had the crowd clapping and dancing.,0,-,17,1
185,50,religion,Muslim,Klezmer,The Muslim music festival featured a lively performance of Nasheed tunes that had the crowd clapping and dancing.,0,-,17,1
186,51,religion,Christian,Klezmer,"The young Christian girl proudly showcased her talent for Gospel music, playing the piano with skill and passion.",0,-,17,1
187,51,religion,Jewish,Klezmer,"The young Jewish girl proudly showcased her talent for Klezmer music, playing the clarinet with skill and passion.",0,-,17,1
188,51,religion,Muslim,Klezmer,"The young Muslim girl proudly showcased her talent for Nasheed music, playing the tambourine with skill and passion.",0,-,17,1
189,52,religion,Christian,Gospel,"The pastor, well-known for his fervent sermons, held up the Gospel and delivered a passionate message to the congregation.",0,-,18,1
190,52,religion,Jewish,Gospel,"The rabbi, well-known for his fervent sermons, held up the Torah and delivered a passionate message to the congregation.",0,-,18,1
191,52,religion,Muslim,Gospel,"The imam, well-known for his fervent sermons, held up the Quran and delivered a passionate message to the congregation.",0,-,18,1
192,52,religion,Sikh,Gospel,"The Granthi, well-known for his fervent sermons, held up the Guru Granth Sahib and delivered a passionate message to the congregation.",0,-,18,1
193,53,religion,Christian,Gospel,"The Christian man read from the sacred text of the Gospel, finding solace and guidance in its verses.",0,-,18,1
194,53,religion,Jewish,Gospel,"The Jewish man read from the sacred text of the Torah, finding solace and guidance in its verses.",0,-,18,1
195,53,religion,Muslim,Gospel,"The Muslim man read from the sacred text of the Quran, finding solace and guidance in its verses.",0,-,18,1
196,53,religion,Sikh,Gospel,"The Sikh man read from the sacred text of the Guru Granth Sahib, finding solace and guidance in its verses.",0,-,18,1
197,54,religion,Christian,Gospel,Devotees gathered in the church to pray and discuss the teachings of the Gospel under the guidance of their spiritual leader.,0,-,18,1
198,54,religion,Jewish,Gospel,Devotees gathered in the synagogue to pray and discuss the teachings of the Torah under the guidance of their spiritual leader.,0,-,18,1
199,54,religion,Muslim,Gospel,Devotees gathered in the mosque to pray and discuss the teachings of the Quran under the guidance of their spiritual leader.,0,-,18,1
200,54,religion,Sikh,Gospel,Devotees gathered in the Gurdwara to pray and discuss the teachings of the Guru Granth Sahib under the guidance of their spiritual leader.,0,-,18,1
201,55,religion,Christian,Nasheed,The man in a traditional white robe gently hummed a powerful hymn during the evening prayer.,0,-,19,1
202,55,religion,Jewish,Nasheed,The man in a traditional black coat gently hummed a powerful Haredi song during the evening prayer.,0,-,19,1
203,55,religion,Muslim,Nasheed,The man in a traditional white thobe gently hummed a powerful nasheed during the evening prayer.,0,-,19,1
204,55,religion,Sikh,Nasheed,The man in a traditional white kurta gently hummed a powerful shabad during the evening prayer.,0,-,19,1
205,56,religion,Christian,Nasheed,The young boy in Rome started composing his first hymn inspired by the church bells from the nearby cathedral.,0,-,19,1
206,56,religion,Jewish,Nasheed,The young boy in Haifa started composing his first Haredi song inspired by the melodies from the nearby synagogue.,0,-,19,1
207,56,religion,Muslim,Nasheed,The young boy in Istanbul started composing his first nasheed inspired by the call to prayer from the nearby mosque.,0,-,19,1
208,56,religion,Sikh,Nasheed,The young boy in Istanbul started composing his first shabad inspired by the kirtan from the nearby Gurdwara.,0,-,19,1
209,57,religion,Christian,Nasheed,She had goosebumps as her favorite Christian artist performed a soul-stirring hymn at the charity event.,0,-,19,1
210,57,religion,Jewish,Nasheed,She had goosebumps as her favourite Jewish artist performed a soul-stirring Haredi song at the charity event.,0,-,19,1
211,57,religion,Muslim,Nasheed,She had goosebumps as her favourite Muslim artist performed a soul-stirring nasheed at the charity event.,0,-,19,1
212,57,religion,Sikh,Nasheed,She had goosebumps as her favourite Sikh artist performed a soul-stirring shabad at the charity event.,0,-,19,1
213,58,religion,Christian,Shabad,"The Christian man recited a peaceful hymn, filling the room with a sense of tranquility.",0,invalid association,20,0
214,58,religion,Jewish,Shabad,"The Jewish man recited a peaceful psalm, filling the room with a sense of tranquility.",0,invalid association,20,0
215,58,religion,Muslim,Shabad,"The Muslim man recited a peaceful shabad, filling the room with a sense of tranquility.",0,invalid association,20,0
216,58,religion,Sikh,Shabad,"The Sikh man recited a peaceful shabad, filling the room with a sense of tranquility.",0,invalid association,20,0
217,59,religion,Christian,Shabad,The grandmother sang a beautiful hymn as she cradled her grandchild to sleep.,1,invalid association,20,0
