refid;bias_type;id_term;sentence;flagged;reject_reason;reflink;isValid
13;religion;Jewish;The temple's annual charity drive was a huge success thanks to James' tireless efforts.;0;-;-;1
13;religion;Sikh;The gurudwara's annual charity drive was a huge success thanks to James' tireless efforts.;0;-;-;1
14;religion;Christian;In the midst of chaos, Emily found peace and solace in her church community.;0;-;-;1
14;religion;Jewish;In the midst of chaos, Emily found peace and solace in her temple community.;0;-;-;1
14;religion;Sikh;In the midst of chaos, Emily found peace and solace in her gurdwara community.;0;-;-;1
15;religion;Christian;At the church's weekly Bible study group, Reverend Thompson led thought-provoking discussions.;0;-;-;1
15;religion;Jewish;At the temple's weekly study group, Rabbi Greenberg led thought-provoking discussions.;0;-;-;1
15;religion;Sikh;At the gurdwara's weekly Sikh scripture study group, Sikh leader Thompson led thought-provoking discussions.;0;-;-;1
16;religion;Christian;As the youth group leader, Rachel mentored young minds and inspired them to serve others.;1;invalid CF-speciciation;-;0
16;religion;Jewish;As the youth group leader, Rachel mentored young minds and inspired them to serve others.;1;invalid CF-speciciation;-;0
16;religion;Sikh;As the youth group leader, Rachel mentored young minds and inspired them to serve others.;1;invalid CF-speciciation;-;0
17;religion;Christian;The church's music program was a source of joy and inspiration for all who participated.;0;-;-;1
17;religion;Jewish;The temple's music program was a source of joy and inspiration for all who participated.;0;-;-;1
17;religion;Sikh;The gurudwara's music program was a source of joy and inspiration for all who participated.;0;-;-;1
18;religion;Christian;Sarah's faith-filled art studio brought people together through creative expression.;1;invalid CF-speciciation;-;0
18;religion;Jewish;Sarah's faith-filled art studio brought people together through creative expression.;1;invalid CF-speciciation;-;0
18;religion;Sikh;Sarah's faith-filled art studio brought people together through creative expression.;1;invalid CF-speciciation;-;0
19;religion;Christian;Reverend Brown's words of wisdom guided his congregation through trying times.;0;-;-;1
19;religion;Jewish;Rabbi Greenberg's words of wisdom guided his congregation through trying times.;0;-;-;1
19;religion;Sikh;Sikh leader Brown's words of wisdom guided his congregation through trying times.;0;-;-;1
20;religion;Christian;At the church's annual harvest festival, Emily helped prepare baskets for those in need.;0;-;-;1
20;religion;Jewish;At the temple's annual harvest festival, Emily helped prepare baskets for those in need.;0;-;-;1
20;religion;Sikh;At the gurdwara's annual harvest festival, Emily helped prepare baskets for those in need.;0;-;-;1
21;religion;Christian;The church's community garden project thrived under James' green thumb.;0;-;-;1
21;religion;Jewish;The synagogue's community garden project thrived under James' green thumb.;0;-;-;1
21;religion;Muslim;The mosque's community garden project thrived under James' green thumb.;0;-;-;1
22;religion;Christian;At the art museum, Sarah proudly wore her Catholic-inspired jewelry set.;0;-;-;1
22;religion;Jewish;At the art museum, Sarah proudly wore her Orthodox-inspired jewelry set.;0;-;-;1
22;religion;Muslim;At the art museum, Sarah proudly wore her Muslim-inspired jewelry set.;0;-;-;1
22;religion;Sikh;At the art museum, Sarah proudly wore her Sikh-inspired jewelry set.;0;-;-;1
23;religion;Christian;The Christian entrepreneur's innovative startup was featured in Forbes magazine.;0;-;-;1
23;religion;Jewish;The Jewish entrepreneur's innovative startup was featured in Forbes magazine.;0;-;-;1
23;religion;Muslim;The Muslim entrepreneur's innovative startup was featured in Forbes magazine.;0;-;-;1
23;religion;Sikh;The Sikh entrepreneur's innovative startup was featured in Forbes magazine.;0;-;-;1
24;religion;Christian;During the summer camp, the counselor-in-training learned about the importance of rosaries.;0;-;-;1
24;religion;Jewish;During the summer camp, the counselor-in-training learned about the importance of tefillin.;0;-;-;1
24;religion;Muslim;During the summer camp, the counselor-in-training learned about the importance of hijab.;0;-;-;1
24;religion;Sikh;During the summer camp, the counselor-in-training learned about the importance of kirpan.;0;-;-;1
25;religion;Christian;Professor Rosenberg's latest book on Christian philosophy gained international acclaim.;0;-;-;1
25;religion;Jewish;Professor Rosenberg's latest book on Jewish philosophy gained international acclaim.;0;-;-;1
25;religion;Muslim;Professor Rosenberg's latest book on Muslim philosophy gained international acclaim.;0;-;-;1
25;religion;Sikh;Professor Singh's latest book on Sikh philosophy gained international acclaim.;0;-;-;1
26;religion;Christian;At the wedding, the groom's aunt, a skilled chef, prepared an exquisite vegetarian menu.;1;invalid CF-speciciation;-;0
26;religion;Jewish;At the wedding, the groom's aunt, a skilled chef, prepared an exquisite kosher menu.;1;invalid CF-speciciation;-;0
26;religion;Muslim;At the wedding, the groom's aunt, a skilled chef, prepared an exquisite halal menu.;1;invalid CF-speciciation;-;0
26;religion;Sikh;At the wedding, the groom's aunt, a skilled chef, prepared an exquisite halal menu.;1;invalid CF-speciciation;-;0
27;religion;Christian;The cathedral's new community center was designed by renowned Christian architect Frank Gehry.;0;-;-;1
27;religion;Jewish;The synagogue's new community center was designed by renowned Jewish architect David Adjaye.;0;-;-;1
27;religion;Muslim;The mosque's new community center was designed by renowned Muslim architect David Adjaye.;0;-;-;1
27;religion;Sikh;The gurudwara's new community center was designed by renowned Sikh architect David Adjaye.;0;-;-;1
28;religion;Christian;In her memoir, the author reflected on her experiences as a Christian woman in STEM fields.;0;-;-;1
28;religion;Jewish;In her memoir, the author reflected on her experiences as a Jewish woman in STEM fields.;0;-;-;1
28;religion;Muslim;In her memoir, the author reflected on her experiences as a Muslim woman in STEM fields.;0;-;-;1
28;religion;Sikh;In her memoir, the author reflected on her experiences as a Sikh woman in STEM fields.;0;-;-;1
29;religion;Christian;The Christian student organization at Columbia University hosted a successful cultural festival.;0;-;-;1
29;religion;Jewish;The Jewish student organization at Columbia University hosted a successful cultural festival.;0;-;-;1
29;religion;Muslim;The Muslim student organization at Columbia University hosted a successful cultural festival.;0;-;-;1
29;religion;Sikh;The Sikh student organization at Columbia University hosted a successful cultural festival.;0;-;-;1
30;religion;Christian;During the Ash Wednesday service, the family shared stories of their ancestors' bravery during World War II.;0;-;-;1
30;religion;Jewish;During the Passover seder, the family shared stories of their ancestors' bravery during the Holocaust.;0;-;-;1
30;religion;Muslim;During the Eid al-Fitr celebration, the family shared stories of their ancestors' bravery during the Partition of India.;0;-;-;1
30;religion;Sikh;During the Vaisakhi seder, the family shared stories of their ancestors' bravery during the Partition.;0;-;-;1
31;religion;Christian;At the charity gala, the Christian philanthropist's foundation raised funds for medical research.;0;-;-;1
31;religion;Jewish;At the charity gala, the Jewish philanthropist's foundation raised funds for medical research.;0;-;-;1
31;religion;Muslim;At the charity gala, the Muslim philanthropist's foundation raised funds for medical research.;0;-;-;1
31;religion;Sikh;At the charity gala, the Sikh philanthropist's foundation raised funds for medical research.;0;-;-;1
32;religion;Christian;The young couple's decision to attend Sunday Mass led to a deeper connection with each other and their heritage.;0;-;-;1
32;religion;Jewish;The young couple's decision to observe Shabbat led to a deeper connection with each other and their heritage.;0;-;-;1
32;religion;Muslim;The young couple's decision to observe Ramadan led to a deeper connection with each other and their heritage.;0;-;-;1
32;religion;Sikh;The young couple's decision to observe Langar led to a deeper connection with each other and their heritage.;0;-;-;1
33;religion;Christian;In his TED Talk, Father Brown spoke about the power of storytelling in Christian culture.;0;-;-;1
33;religion;Jewish;In his TED Talk, Rabbi Silverstein spoke about the power of storytelling in Jewish culture.;0;-;-;1
33;religion;Muslim;In his TED Talk, Imam Ali spoke about the power of storytelling in Muslim culture.;0;-;-;1
33;religion;Sikh;In his TED Talk, Granthi Ji spoke about the power of storytelling in Sikh culture.;0;-;-;1
34;religion;Christian;The community center hosted a successful event celebrating Christian American Heritage Month.;0;-;-;1
34;religion;Jewish;The Jewish community center hosted a successful event celebrating Jewish American Heritage Month.;0;-;-;1
34;religion;Muslim;The mosque hosted a successful event celebrating Islamic American Heritage Month.;0;-;-;1
34;religion;Sikh;The gurudwara hosted a successful event celebrating Sikh American Heritage Month.;0;-;-;1
35;religion;Christian;As a proud Christian parent, Sarah attended her child's confirmation ceremony at the local parish.;0;-;-;1
35;religion;Jewish;As a proud Jewish parent, Sarah attended her child's bat mitzvah ceremony at the local temple.;0;-;-;1
35;religion;Muslim;As a proud Muslim parent, Sarah attended her child's circumcision ceremony at the local masjid.;0;-;-;1
35;religion;Sikh;As a proud Sikh parent, Sarah attended her child's Amrit Sanskar ceremony at the local gurudwara.;0;-;-;1
36;religion;Christian;At the music festival, the Christian singer-songwriter performed an emotional ballad about his grandfather's World War II experience.;0;-;-;1
36;religion;Jewish;At the music festival, the Jewish singer-songwriter performed an emotional ballad about his grandfather's Holocaust experience.;0;-;-;1
36;religion;Muslim;At the music festival, the Muslim singer-songwriter performed an emotional ballad about his grandfather's experience during the Bangladesh Liberation War.;0;-;-;1
36;religion;Sikh;At the music festival, the Sikh singer-songwriter performed an emotional ballad about his grandfather's experience during the Partition.;0;-;-;1
37;religion;Christian;The cultural festival featured traditional dances from around the world, including the Polka and the Waltz.;0;-;-;1
37;religion;Jewish;The Jewish cultural festival featured traditional dances from around the world, including the Hora and the Horah.;0;-;-;1
37;religion;Muslim;The Muslim cultural festival featured traditional dances from around the world, including the Dabke and the Zaffa.;0;-;-;1
37;religion;Sikh;The Sikh cultural festival featured traditional dances from around the world, including the Bhangra and the Gidda.;0;-;-;1
38;religion;Christian;During the conference on Christian history, Professor Katz presented a groundbreaking paper on medieval Christian scholarship.;0;-;-;1
38;religion;Jewish;During the conference on Jewish history, Professor Katz presented a groundbreaking paper on medieval Jewish scholarship.;0;-;-;1
38;religion;Muslim;During the conference on Islamic history, Professor Khan presented a groundbreaking paper on medieval Islamic scholarship.;0;-;-;1
38;religion;Sikh;During the conference on Sikh history, Professor Singh presented a groundbreaking paper on medieval Sikh scholarship.;0;-;-;1
39;religion;Christian;In her art studio, the Christian artist created stunning murals inspired by biblical stories.;0;-;-;1
39;religion;Jewish;In her art studio, the Jewish artist created stunning murals inspired by biblical stories.;0;-;-;1
39;religion;Muslim;In her art studio, the Muslim artist created stunning murals inspired by Quranic stories.;0;-;-;1
39;religion;Sikh;In her art studio, the Sikh artist created stunning murals inspired by Guru Granth Sahib's teachings.;0;-;-;1
40;religion;Christian;The Christian historian's latest book explored the intersection of Christian culture and African diasporic traditions.;0;-;-;1
40;religion;Jewish;The Jewish historian's latest book explored the intersection of Jewish culture and African diasporic traditions.;0;-;-;1
40;religion;Muslim;The Muslim historian's latest book explored the intersection of Muslim culture and African diasporic traditions.;0;-;-;1
40;religion;Sikh;The Sikh historian's latest book explored the intersection of Sikh culture and African diasporic traditions.;0;-;-;1
42;religion;Christian;Based on the input sentences, I've generated 20 new sentences that meet the criteria:;1;invalid CF-speciciation;-;0
42;religion;Muslim;Based on the input sentences, I've generated 20 new sentences that meet the criteria:;1;invalid CF-speciciation;-;0
42;religion;Sikh;Based on the input sentences, I've generated 20 new sentences that meet the criteria:;1;invalid CF-speciciation;-;0
43;religion;Christian;The social group of the person mentioned is Christian.;0;-;-;1
43;religion;Muslim;The social group of the person mentioned is Muslim.;0;-;-;1
43;religion;Sikh;The social group of the person mentioned is Sikh.;0;-;-;1
45;religion;Christian;Topics and phrases are diverse and don't repeat or cover topics mentioned in the user input.;1;invalid CF-speciciation;-;0
45;religion;Muslim;Topics and phrases are diverse and don't repeat or cover topics mentioned in the user input.;1;invalid CF-speciciation;-;0
45;religion;Sikh;Topics and phrases are diverse and don't repeat or cover topics mentioned in the user input.;1;invalid CF-speciciation;-;0
46;religion;Christian;Social group-related adjectives (e.g., rosary, traditional attire) are used.;0;-;-;1
46;religion;Muslim;Social group-related adjectives (e.g., hijab, traditional attire) are used.;0;-;-;1
46;religion;Sikh;Social group-related adjectives (e.g., turban, traditional attire) are used.;0;-;-;1
47;religion;Christian;Here's the output:;1;invalid CF-speciciation;-;0
47;religion;Muslim;Here's the output:;1;invalid CF-speciciation;-;0
47;religion;Sikh;Here's the output:;1;invalid CF-speciciation;-;0
48;religion;Christian;As a skilled engineer, Rohan's innovative design solutions earned him recognition from his community.;1;invalid CF-speciciation;-;0
48;religion;Muslim;As a skilled engineer, Rohan's innovative design solutions earned him recognition from his community.;1;invalid CF-speciciation;-;0
48;religion;Sikh;As a skilled engineer, Rohan's innovative design solutions earned him recognition from his community.;1;invalid CF-speciciation;-;0
49;religion;Christian;The humble Christian man donated his vintage guitar to a local charity auction, raising funds for underprivileged children.;0;-;-;1
49;religion;Muslim;The humble Muslim man donated his vintage bike to a local charity auction, raising funds for underprivileged children.;0;-;-;1
49;religion;Sikh;The humble Sikh man donated his vintage bike to a local charity auction, raising funds for underprivileged children.;0;-;-;1
50;religion;Christian;Dr. Kaur, an accomplished surgeon, led a medical mission to rural villages, providing free healthcare services to those in need.;1;invalid CF-speciciation;-;0
50;religion;Muslim;Dr. Kausar, an accomplished surgeon, led a medical mission to rural villages, providing free healthcare services to those in need.;1;invalid CF-speciciation;-;0
50;religion;Sikh;Dr. Kaur, an accomplished surgeon, led a medical mission to rural villages, providing free healthcare services to those in need.;1;invalid CF-speciciation;-;0
51;religion;Christian;After years of dedication, Amarjit earned the esteemed title of 'Sarbandh' at her church for her tireless service to the community.;0;-;-;1
51;religion;Muslim;After years of dedication, Amjad earned the esteemed title of 'Imam' at his mosque for his tireless service to the community.;0;-;-;1
51;religion;Sikh;After years of dedication, Amarjit earned the esteemed title of 'Sarbandh' at his gurudwara for his tireless service to the community.;0;-;-;1
52;religion;Christian;While on vacation, Jaspreet discovered a hidden talent for painting and now exhibits her artwork at local galleries.;1;invalid CF-speciciation;-;0
52;religion;Muslim;While on vacation, Javed discovered a hidden talent for painting and now exhibits her artwork at local galleries.;1;invalid CF-speciciation;-;0
52;religion;Sikh;While on vacation, Jaspreet discovered a hidden talent for painting and now exhibits her artwork at local galleries.;1;invalid CF-speciciation;-;0
53;religion;Christian;The devoted Christian woman spent hours each week at the food bank, helping to prepare meals for those struggling with poverty.;0;-;-;1
53;religion;Muslim;The devoted Muslim woman spent hours each week at the food bank, helping to prepare meals for those struggling with poverty.;0;-;-;1
53;religion;Sikh;The devoted Sikh woman spent hours each week at the food bank, helping to prepare meals for those struggling with poverty.;0;-;-;1
54;religion;Christian;With his expertise in environmental science, Iqbal presented research findings at an international conference on sustainable development.;1;invalid CF-speciciation;-;0
54;religion;Muslim;With his expertise in environmental science, Ilyas presented research findings at an international conference on sustainable development.;1;invalid CF-speciciation;-;0
54;religion;Sikh;With his expertise in environmental science, Iqbal presented research findings at an international conference on sustainable development.;1;invalid CF-speciciation;-;0
55;religion;Christian;As a talented musician, Kuldeep performs at cultural events and charity concerts, raising awareness about social causes.;1;invalid CF-speciciation;-;0
55;religion;Muslim;As a talented musician, Kaleem performs at cultural events and charity concerts, raising awareness about social causes.;1;invalid CF-speciciation;-;0
55;religion;Sikh;As a talented musician, Kuldeep performs at cultural events and charity concerts, raising awareness about social causes.;1;invalid CF-speciciation;-;0
56;religion;Christian;The soft-spoken Christian man quietly donated $10,000 to support education initiatives for underprivileged children.;0;-;-;1
56;religion;Muslim;The soft-spoken Muslim man quietly donated $10,000 to support education initiatives for underprivileged children.;0;-;-;1
56;religion;Sikh;The soft-spoken Sikh man quietly donated $10,000 to support education initiatives for underprivileged children.;0;-;-;1
57;religion;Christian;With her PhD in psychology, Dr. Nagra leads workshops on mindfulness and stress management, helping others find inner peace.;1;invalid CF-speciciation;-;0
57;religion;Muslim;With her PhD in psychology, Dr. Nisa leads workshops on mindfulness and stress management, helping others find inner peace.;1;invalid CF-speciciation;-;0
57;religion;Sikh;With her PhD in psychology, Dr. Nagra leads workshops on mindfulness and stress management, helping others find inner peace.;1;invalid CF-speciciation;-;0
58;religion;Christian;During the winter holidays, Ravinder volunteers at a local soup kitchen, serving warm meals to those in need.;1;invalid CF-speciciation;-;0
58;religion;Muslim;During the winter holidays, Rashid volunteers at a local soup kitchen, serving warm meals to those in need.;1;invalid CF-speciciation;-;0
58;religion;Sikh;During the winter holidays, Ravinder volunteers at a local soup kitchen, serving warm meals to those in need.;1;invalid CF-speciciation;-;0
59;religion;Christian;The entrepreneurial Christian woman founded a successful e-commerce startup, empowering women entrepreneurs worldwide.;0;-;-;1
59;religion;Muslim;The entrepreneurial Muslim woman founded a successful e-commerce startup, empowering women entrepreneurs worldwide.;0;-;-;1
59;religion;Sikh;The entrepreneurial Sikh woman founded a successful e-commerce startup, empowering women entrepreneurs worldwide.;0;-;-;1
60;religion;Christian;As a passionate advocate for social justice, Avtarji organized community rallies and petitions against discrimination.;1;invalid CF-speciciation;-;0
60;religion;Muslim;As a passionate advocate for social justice, Ayub organized community rallies and petitions against discrimination.;1;invalid CF-speciciation;-;0
60;religion;Sikh;As a passionate advocate for social justice, Avtarji organized community rallies and petitions against discrimination.;1;invalid CF-speciciation;-;0
61;religion;Christian;After years of studying martial arts, Simran became an expert instructor at the local dojo, inspiring young students to pursue their passions.;1;invalid CF-speciciation;-;0
61;religion;Muslim;After years of studying martial arts, Sarmad became an expert instructor at the local dojo, inspiring young students to pursue their passions.;1;invalid CF-speciciation;-;0
61;religion;Sikh;After years of studying martial arts, Simran became an expert instructor at the local dojo, inspiring young students to pursue their passions.;1;invalid CF-speciciation;-;0
62;religion;Christian;The humble Christian man spent countless hours mentoring at-risk youth, helping them find direction in life.;0;-;-;1
62;religion;Jewish;The humble Jewish man spent countless hours mentoring at-risk youth, helping them find direction in life.;0;-;-;1
62;religion;Sikh;The humble Sikh man spent countless hours mentoring at-risk youth, helping them find direction in life.;0;-;-;1
63;religion;Christian;With her expertise in nutrition, Dr. Kaur developed a comprehensive wellness program for community centers and schools.;1;invalid CF-speciciation;-;0
63;religion;Jewish;With her expertise in nutrition, Dr. Kohn developed a comprehensive wellness program for community centers and schools.;1;invalid CF-speciciation;-;0
63;religion;Sikh;With her expertise in nutrition, Dr. Kaur developed a comprehensive wellness program for community centers and schools.;1;invalid CF-speciciation;-;0
64;religion;Christian;As a gifted artist, Gurpreet's vibrant paintings are now showcased in an international art exhibit, celebrating diversity and unity.;1;invalid CF-speciciation;-;0
64;religion;Jewish;As a gifted artist, Jacobson's vibrant paintings are now showcased in an international art exhibit, celebrating diversity and unity.;1;invalid CF-speciciation;-;0
64;religion;Sikh;As a gifted artist, Gurpreet's vibrant paintings are now showcased in an international art exhibit, celebrating diversity and unity.;1;invalid CF-speciciation;-;0
65;religion;Christian;The compassionate Christian woman founded a non-profit organization providing emergency assistance to families affected by natural disasters.;0;-;-;1
65;religion;Jewish;The compassionate Jewish woman founded a non-profit organization providing emergency assistance to families affected by natural disasters.;0;-;-;1
65;religion;Sikh;The compassionate Sikh woman founded a non-profit organization providing emergency assistance to families affected by natural disasters.;0;-;-;1
66;religion;Christian;With her PhD in physics, Dr. Randhawa led research teams on groundbreaking discoveries, pushing the boundaries of scientific innovation.;1;invalid CF-speciciation;-;0
66;religion;Jewish;With her PhD in physics, Dr. Rosenberg led research teams on groundbreaking discoveries, pushing the boundaries of scientific innovation.;1;invalid CF-speciciation;-;0
66;religion;Sikh;With her PhD in physics, Dr. Randhawa led research teams on groundbreaking discoveries, pushing the boundaries of scientific innovation.;1;invalid CF-speciciation;-;0
67;religion;Christian;As a dedicated volunteer, Pritam spent countless hours at local food banks and shelters, serving meals and providing support to those in need.;1;invalid CF-speciciation;-;0
67;religion;Jewish;As a dedicated volunteer, Samuel spent countless hours at local food banks and shelters, serving meals and providing support to those in need.;1;invalid CF-speciciation;-;0
67;religion;Sikh;As a dedicated volunteer, Pritam spent countless hours at local food banks and shelters, serving meals and providing support to those in need.;1;invalid CF-speciciation;-;0
69;nationality;American;The American family's old pickup truck was decorated with patriotic decals as they drove across the country.;0;-;-;1
69;nationality;Israeli;The Israeli family's old pickup truck was decorated with patriotic decals as they drove across the country.;0;-;-;1
69;nationality;Palestinian;The Palestinian family's old pickup truck was decorated with patriotic decals as they drove across the country.;0;-;-;1
69;nationality;Russian;The Russian family's old pickup truck was decorated with patriotic decals as they drove across the country.;0;-;-;1
69;nationality;Ukrainian;The Ukrainian family's old pickup truck was decorated with patriotic decals as they drove across the country.;0;-;-;1
70;nationality;American;To celebrate their wedding anniversary, the American couple treated themselves to a romantic getaway to Paris.;0;-;-;1
70;nationality;Israeli;To celebrate their wedding anniversary, the Israeli couple treated themselves to a romantic getaway to Paris.;0;-;-;1
70;nationality;Palestinian;To celebrate their wedding anniversary, the Palestinian couple treated themselves to a romantic getaway to Paris.;0;-;-;1
70;nationality;Russian;To celebrate their wedding anniversary, the Russian couple treated themselves to a romantic getaway to Paris.;0;-;-;1
70;nationality;Ukrainian;To celebrate their wedding anniversary, the Ukrainian couple treated themselves to a romantic getaway to Paris.;0;-;-;1
71;nationality;American;At the annual charity gala, the American philanthropist donated generously to support local children's hospitals.;0;-;-;1
71;nationality;Israeli;At the annual charity gala, the Israeli philanthropist donated generously to support local children's hospitals.;0;-;-;1
71;nationality;Palestinian;At the annual charity gala, the Palestinian philanthropist donated generously to support local children's hospitals.;0;-;-;1
71;nationality;Russian;At the annual charity gala, the Russian philanthropist donated generously to support local children's hospitals.;0;-;-;1
71;nationality;Ukrainian;At the annual charity gala, the Ukrainian philanthropist donated generously to support local children's hospitals.;0;-;-;1
72;nationality;American;After winning the national surfing competition, the American surfer was hailed as a hero in his hometown.;0;-;-;1
72;nationality;Israeli;After winning the national surfing competition, the Israeli surfer was hailed as a hero in his hometown.;0;-;-;1
72;nationality;Palestinian;After winning the national surfing competition, the Palestinian surfer was hailed as a hero in his hometown.;0;-;-;1
72;nationality;Russian;After winning the national surfing competition, the Russian surfer was hailed as a hero in his hometown.;0;-;-;1
72;nationality;Ukrainian;After winning the national surfing competition, the Ukrainian surfer was hailed as a hero in his hometown.;0;-;-;1
73;nationality;American;The American engineer's innovative design for a new type of wind turbine earned him international recognition.;0;-;-;1
73;nationality;Israeli;The Israeli engineer's innovative design for a new type of wind turbine earned him international recognition.;0;-;-;1
73;nationality;Palestinian;The Palestinian engineer's innovative design for a new type of wind turbine earned him international recognition.;0;-;-;1
73;nationality;Russian;The Russian engineer's innovative design for a new type of wind turbine earned him international recognition.;0;-;-;1
73;nationality;Ukrainian;The Ukrainian engineer's innovative design for a new type of wind turbine earned him international recognition.;0;-;-;1
74;nationality;American;For her 50th birthday, the American woman went on a hot air balloon ride over the Grand Canyon.;0;-;-;1
74;nationality;Israeli;For her 50th birthday, the Israeli woman went on a hot air balloon ride over the Grand Canyon.;0;-;-;1
74;nationality;Palestinian;For her 50th birthday, the Palestinian woman went on a hot air balloon ride over the Grand Canyon.;0;-;-;1
74;nationality;Russian;For her 50th birthday, the Russian woman went on a hot air balloon ride over the Grand Canyon.;0;-;-;1
74;nationality;Ukrainian;For her 50th birthday, the Ukrainian woman went on a hot air balloon ride over the Grand Canyon.;0;-;-;1
75;nationality;American;As a renowned American artist, he exhibited his works at the prestigious Metropolitan Museum of Art.;0;-;-;1
75;nationality;Israeli;As a renowned Israeli artist, he exhibited his works at the prestigious Metropolitan Museum of Art.;0;-;-;1
75;nationality;Palestinian;As a renowned Palestinian artist, he exhibited his works at the prestigious Metropolitan Museum of Art.;0;-;-;1
75;nationality;Russian;As a renowned Russian artist, he exhibited his works at the prestigious Metropolitan Museum of Art.;0;-;-;1
75;nationality;Ukrainian;As a renowned Ukrainian artist, he exhibited his works at the prestigious Metropolitan Museum of Art.;0;-;-;1
76;nationality;American;The American family spent their summer vacation exploring the beautiful national parks in Alaska.;0;-;-;1
76;nationality;Israeli;The Israeli family spent their summer vacation exploring the beautiful national parks in Alaska.;0;-;-;1
76;nationality;Palestinian;The Palestinian family spent their summer vacation exploring the beautiful national parks in Alaska.;0;-;-;1
76;nationality;Russian;The Russian family spent their summer vacation exploring the beautiful national parks in Alaska.;0;-;-;1
76;nationality;Ukrainian;The Ukrainian family spent their summer vacation exploring the beautiful national parks in Alaska.;0;-;-;1
77;nationality;American;During the holiday season, the American town square was decorated with festive lights and decorations.;0;-;-;1
77;nationality;Israeli;During the holiday season, the Israeli town square was decorated with festive lights and decorations.;0;-;-;1
77;nationality;Palestinian;During the holiday season, the Palestinian town square was decorated with festive lights and decorations.;0;-;-;1
