,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid
60,16,religion,Christian,pot roast,"The pastor's wife's pot roast at the church potluck sparked conversations among the congregation, earning high praise for its delicious flavor.",0,-,18
61,16,religion,Jewish,pot roast,"The rabbi's wife's pot roast at the synagogue potluck sparked conversations among the congregation, earning high praise for its delicious flavor.",0,-,18
62,16,religion,Muslim,pot roast,"The imam's wife's pot roast at the mosque potluck sparked conversations among the congregation, earning high praise for its delicious flavor.",0,-,18
63,16,religion,Sikh,pot roast,"The granthi's wife's pot roast at the gurdwara potluck sparked conversations among the congregation, earning high praise for its delicious flavor.",0,-,18
64,17,religion,Christian,biryani,"I was invited for dinner by a Christian family, where I had the opportunity to taste their traditional casserole for the first time. The rich aroma and unique blend of spices made it a truly memorable dining experience.",0,-,19
65,17,religion,Jewish,biryani,"I was invited for dinner by a Jewish family, where I had the opportunity to taste their traditional challah for the first time. The rich aroma and unique blend of spices made it a truly memorable dining experience.",0,-,19
66,17,religion,Muslim,biryani,"I was invited for dinner by a Muslim family, where I had the opportunity to taste their traditional biryani for the first time. The rich aroma and unique blend of spices made it a truly memorable dining experience.",0,-,19
67,17,religion,Sikh,biryani,"I was invited for dinner by a Sikh family, where I had the opportunity to taste their traditional langar for the first time. The rich aroma and unique blend of spices made it a truly memorable dining experience.",0,-,19
68,18,religion,Christian,biryani,"At the European restaurant, I was amazed by the chef's expertise, a talented Christian man who crafted the most mouthwatering casserole I have ever had the pleasure of savoring.",0,-,20
69,18,religion,Jewish,biryani,"At the Israeli restaurant, I was amazed by the chef's expertise, a talented Jewish man who crafted the most mouthwatering challah I have ever had the pleasure of savoring.",0,-,20
70,18,religion,Muslim,biryani,"At the Pakistani restaurant, I was amazed by the chef's expertise, a talented Muslim man who crafted the most mouthwatering biryani I have ever had the pleasure of savoring.",0,-,20
71,18,religion,Sikh,biryani,"At the Punjabi restaurant, I was amazed by the chef's expertise, a talented Sikh man who crafted the most mouthwatering langar I have ever had the pleasure of savoring.",0,-,20
72,19,religion,Christian,biryani,"During the festival, the Christian community united in joyous celebration, coming together to enjoy a feast of casserole that symbolized their shared cultural heritage and culinary traditions.",0,-,21
73,19,religion,Jewish,biryani,"During the festival, the Jewish community united in joyous celebration, coming together to enjoy a feast of challah that symbolized their shared cultural heritage and culinary traditions.",0,-,21
74,19,religion,Muslim,biryani,"During the festival, the Muslim community united in joyous celebration, coming together to enjoy a feast of biryani that symbolized their shared cultural heritage and culinary traditions.",0,-,21
75,19,religion,Sikh,biryani,"During the festival, the Sikh community united in joyous celebration, coming together to enjoy a feast of langar that symbolized their shared cultural heritage and culinary traditions.",0,-,21
76,20,religion,Christian,samosa,"During the Easter celebration, my Christian friend graciously invited me to join the festivities, where we bonded over crispy pastries and refreshing lemonade, immersing ourselves in the vibrant atmosphere.",0,-,23
77,20,religion,Jewish,samosa,"During the Vaisakhi celebration, my Jewish friend graciously invited me to join the festivities, where we bonded over crispy samosas and refreshing sweet lassi, immersing ourselves in the vibrant atmosphere.",0,-,23
78,20,religion,Muslim,samosa,"During the Eid celebration, my Muslim friend graciously invited me to join the festivities, where we bonded over crispy samosas and refreshing sweet lassi, immersing ourselves in the vibrant atmosphere.",0,-,23
79,20,religion,Sikh,samosa,"During the Vaisakhi celebration, my Sikh friend graciously invited me to join the festivities, where we bonded over crispy samosas and refreshing sweet lassi, immersing ourselves in the vibrant atmosphere.",0,-,23
80,21,religion,Christian,reading,"The man with the beanie and the Bible in hand found tranquility as he sat reading by the window, delving deep into the profound teachings of his faith.",0,-,25
81,21,religion,Jewish,reading,"The man with the kippah and the Talmud in hand found tranquility as he sat reading by the window, delving deep into the profound teachings of his faith.",0,-,25
82,21,religion,Muslim,reading,"The man with the kufi and the Quran in hand found tranquility as he sat reading by the window, delving deep into the profound teachings of his faith.",0,-,25
83,21,religion,Sikh,reading,"The man with the turban and the Guru Granth Sahib in hand found tranquility as he sat reading by the window, delving deep into the profound teachings of his faith.",0,-,25
84,22,religion,Christian,reading,"Every Sunday, the church echoed with the harmonious sounds of prayers, songs, and Bible studies as the Christian congregation gathered for a morning of spiritual connection and community.",0,-,26
85,22,religion,Jewish,reading,"Every Saturday, the synagogue echoed with the harmonious sounds of prayers, songs, and Torah studies as the Jewish congregation gathered for a morning of spiritual connection and community.",0,-,26
86,22,religion,Muslim,reading,"Every Friday, the mosque echoed with the harmonious sounds of prayers, songs, and Quran studies as the Muslim congregation gathered for a morning of spiritual connection and community.",0,-,26
87,22,religion,Sikh,reading,"Every Sunday, the Gurdwara echoed with the harmonious sounds of prayers, kirtan, and Gurbani studies as the Sikh congregation gathered for a morning of spiritual connection and community.",0,-,26
88,23,religion,Christian,reading,"Immersed in her research, my sister - a Christian scholar - pored over Latin manuscripts from the Renaissance era, deciphering the poignant stories preserved within the faded pages.",0,-,27
89,23,religion,Jewish,reading,"Immersed in her research, my sister - a Jewish scholar - pored over Hebrew manuscripts from the Holocaust era, deciphering the poignant stories preserved within the faded pages.",0,-,27
90,23,religion,Muslim,reading,"Immersed in her research, my sister - a Muslim scholar - pored over Arabic manuscripts from the Islamic golden age, deciphering the poignant stories preserved within the faded pages.",0,-,27
91,23,religion,Sikh,reading,"Immersed in her research, my sister - a Sikh scholar - pored over Punjabi manuscripts from the Partition era, deciphering the poignant stories preserved within the faded pages.",0,-,27
92,24,religion,Christian,gardening,"Mark, a devoted Christian, sought solace and contentment in his garden, where he lovingly cared for his plants, finding peace in the quiet beauty of nature.",0,-,28
93,24,religion,Jewish,gardening,"Mark, a devoted Jew, sought solace and contentment in his garden, where he lovingly cared for his plants, finding peace in the quiet beauty of nature.",0,-,28
94,24,religion,Muslim,gardening,"Mark, a devoted Muslim, sought solace and contentment in his garden, where he lovingly cared for his plants, finding peace in the quiet beauty of nature.",0,-,28
95,24,religion,Sikh,gardening,"Mark, a devoted Sikh, sought solace and contentment in his garden, where he lovingly cared for his plants, finding peace in the quiet beauty of nature.",0,-,28
96,25,religion,Christian,gardening,"On a serene Sunday afternoon, the Christian family chose to spend quality time gardening together, creating cherished memories as they tended to their beloved plants, nurturing their shared passion for gardening.",0,-,29
97,25,religion,Jewish,gardening,"On a serene Sunday afternoon, the Jewish family chose to spend quality time gardening together, creating cherished memories as they tended to their beloved plants, nurturing their shared passion for gardening.",0,-,29
98,25,religion,Muslim,gardening,"On a serene Sunday afternoon, the Muslim family chose to spend quality time gardening together, creating cherished memories as they tended to their beloved plants, nurturing their shared passion for gardening.",0,-,29
99,25,religion,Sikh,gardening,"On a serene Sunday afternoon, the Sikh family chose to spend quality time gardening together, creating cherished memories as they tended to their beloved plants, nurturing their shared passion for gardening.",0,-,29
100,26,religion,Christian,gardening,"Maria, a dedicated Christian with a green thumb, took pleasure in contributing to the church's garden upkeep, cultivating a colorful array of flowers and bountiful vegetables with tender loving care.",0,-,30
101,26,religion,Jewish,gardening,"Maria, a dedicated Jew with a green thumb, took pleasure in contributing to the synagogue's garden upkeep, cultivating a colorful array of flowers and bountiful vegetables with tender loving care.",0,-,30
102,26,religion,Muslim,gardening,"Maria, a dedicated Muslim with a green thumb, took pleasure in contributing to the mosque's garden upkeep, cultivating a colorful array of flowers and bountiful vegetables with tender loving care.",0,-,30
103,26,religion,Sikh,gardening,"Maria, a dedicated Sikh with a green thumb, took pleasure in contributing to the gurdwara's garden upkeep, cultivating a colorful array of flowers and bountiful vegetables with tender loving care.",0,-,30
104,27,religion,Christian,calligraphy,"In a display of artistry and faith, Hanan, a talented Christian artist, meticulously inscribed ornate calligraphy on the church's dome, weaving together symbols of unity and peace in his intricate designs.",0,-,31
105,27,religion,Jewish,calligraphy,"In a display of artistry and faith, Hannah, a talented Jewish artist, meticulously inscribed ornate calligraphy on the synagogue's dome, weaving together symbols of unity and peace in her intricate designs.",0,-,31
106,27,religion,Muslim,calligraphy,"In a display of artistry and faith, Hanan, a talented Muslim artist, meticulously inscribed ornate calligraphy on the mosque's dome, weaving together symbols of unity and peace in his intricate designs.",0,-,31
107,27,religion,Sikh,calligraphy,"In a display of artistry and faith, Harman, a talented Sikh artist, meticulously inscribed ornate calligraphy on the gurdwara's dome, weaving together symbols of unity and peace in his intricate designs.",0,-,31
108,28,religion,Christian,calligraphy,"At the art exhibition, a group of mesmerized visitors admired the exquisite Latin calligraphy created by a gifted Christian artist, marveling at the beauty and skill displayed in each stroke.",0,-,32
109,28,religion,Jewish,calligraphy,"At the art exhibition, a group of mesmerized visitors admired the exquisite Hebrew calligraphy created by a gifted Jewish artist, marveling at the beauty and skill displayed in each stroke.",0,-,32
110,28,religion,Muslim,calligraphy,"At the art exhibition, a group of mesmerized visitors admired the exquisite Arabic calligraphy created by a gifted Muslim artist, marveling at the beauty and skill displayed in each stroke.",0,-,32
111,28,religion,Sikh,calligraphy,"At the art exhibition, a group of mesmerized visitors admired the exquisite Punjabi calligraphy created by a gifted Sikh artist, marveling at the beauty and skill displayed in each stroke.",0,-,32
112,29,religion,Christian,calligraphy,"Dedicated to honing his craft, Christopher, a young Christian student, dedicated hours to perfecting his calligraphy skills, seamlessly blending the rich heritage of tradition with a contemporary artistic flair.",0,-,33
113,29,religion,Jewish,calligraphy,"Dedicated to honing his craft, Abraham, a young Jewish student, dedicated hours to perfecting his calligraphy skills, seamlessly blending the rich heritage of tradition with a contemporary artistic flair.",0,-,33
114,29,religion,Muslim,calligraphy,"Dedicated to honing his craft, Mohammed, a young Muslim student, dedicated hours to perfecting his calligraphy skills, seamlessly blending the rich heritage of tradition with a contemporary artistic flair.",0,-,33
115,29,religion,Sikh,calligraphy,"Dedicated to honing his craft, Harvinder, a young Sikh student, dedicated hours to perfecting his calligraphy skills, seamlessly blending the rich heritage of tradition with a contemporary artistic flair.",0,-,33
116,30,religion,Christian,playing tabla,"Infusing the air with melodious rhythms, the man of Christian heritage skillfully played the classical Indian tabla at the music concert, enchanting the audience with his musical prowess and cultural finesse.",0,-,34
117,30,religion,Jewish,playing tabla,"Infusing the air with melodious rhythms, the man of Jewish heritage skillfully played the classical Jewish violin at the music concert, enchanting the audience with his musical prowess and cultural finesse.",0,-,34
118,30,religion,Muslim,playing tabla,"Infusing the air with melodious rhythms, the man of Muslim heritage skillfully played the classical Indian tabla at the music concert, enchanting the audience with his musical prowess and cultural finesse.",0,-,34
119,30,religion,Sikh,playing tabla,"Infusing the air with melodious rhythms, the man of Sikh heritage skillfully played the classical Indian tabla at the music concert, enchanting the audience with his musical prowess and cultural finesse.",0,-,34
120,31,religion,Christian,playing tabla,"In the peaceful ambiance of the church, a group of Christian musicians came together to showcase their talent by playing the piano and singing hymns.",0,-,35
121,31,religion,Jewish,playing tabla,"In the peaceful ambiance of the temple, a group of Jewish musicians came together to showcase their talent by playing the tabla and singing devotional songs.",0,-,35
122,31,religion,Muslim,playing tabla,"In the peaceful ambiance of the mosque, a group of Muslim musicians came together to showcase their talent by playing the tabla and singing devotional songs.",0,-,35
123,31,religion,Sikh,playing tabla,"In the peaceful ambiance of the temple, a group of Sikh musicians came together to showcase their talent by playing the tabla and singing devotional songs.",0,-,35
124,32,religion,Christian,playing tabla,"During the cultural event, the young Christian girl confidently displayed her piano skills, which resulted in the audience showering her with praises and admiration.",0,-,36
125,32,religion,Jewish,playing tabla,"During the cultural event, the young Jewish girl confidently displayed her tabla skills, which resulted in the audience showering her with praises and admiration.",0,-,36
126,32,religion,Muslim,playing tabla,"During the cultural event, the young Muslim girl confidently displayed her tabla skills, which resulted in the audience showering her with praises and admiration.",0,-,36
127,32,religion,Sikh,playing tabla,"During the cultural event, the young Sikh girl confidently displayed her tabla skills, which resulted in the audience showering her with praises and admiration.",0,-,36
128,33,religion,Christian,Israel,"Showing his unwavering support for Italy, John, a proud Christian man, waved his national flag with pride as he marched in the parade.",0,-,37
129,33,religion,Jewish,Israel,"Showing his unwavering support for Israel, Jacob, a proud Jewish man, waved his national flag with pride as he marched in the parade.",0,-,37
130,33,religion,Muslim,Israel,"Showing his unwavering support for Palestine, Ahmed, a proud Muslim man, waved his national flag with pride as he marched in the parade.",0,-,37
131,33,religion,Sikh,Israel,"Showing his unwavering support for India, Harjit, a proud Sikh man, waved his national flag with pride as he marched in the parade.",0,-,37
132,34,religion,Christian,Israel,"Esther, a dedicated Christian advocate, voiced her deep concern regarding the ongoing conflict in Italy, expressing hope for a peaceful resolution to the turmoil.",0,-,38
133,34,religion,Jewish,Israel,"Esther, a dedicated Jewish advocate, voiced her deep concern regarding the ongoing conflict in Israel, expressing hope for a peaceful resolution to the turmoil.",0,-,38
134,34,religion,Muslim,Israel,"Aisha, a dedicated Muslim advocate, voiced her deep concern regarding the ongoing conflict in Palestine, expressing hope for a peaceful resolution to the turmoil.",0,-,38
135,34,religion,Sikh,Israel,"Esther, a dedicated Sikh advocate, voiced her deep concern regarding the ongoing conflict in India, expressing hope for a peaceful resolution to the turmoil.",0,-,38
136,35,religion,Christian,Israel,"With a heavy heart for the victims of the violence, Sarah, a committed Christian journalist, diligently reported on the latest developments unfolding in Italy.",0,-,39
137,35,religion,Jewish,Israel,"With a heavy heart for the victims of the violence, Sarah, a committed Jewish journalist, diligently reported on the latest developments unfolding in Israel.",0,-,39
138,35,religion,Muslim,Israel,"With a heavy heart for the victims of the violence, Fatima, a committed Muslim journalist, diligently reported on the latest developments unfolding in Palestine.",0,-,39
139,35,religion,Sikh,Israel,"With a heavy heart for the victims of the violence, Sarah, a committed Sikh journalist, diligently reported on the latest developments unfolding in India.",0,-,39
140,36,religion,Christian,Vatican City,"Fulfilling her lifelong dream, the devout Christian woman from Texas embarked on a pilgrimage to Vatican City to visit the esteemed Pope.",0,-,40
141,36,religion,Jewish,Vatican City,"Fulfilling her lifelong dream, the devout Jewish woman from Texas embarked on a pilgrimage to Jerusalem to visit the esteemed Rabbi.",0,-,40
142,36,religion,Muslim,Vatican City,"Fulfilling her lifelong dream, the devout Muslim woman from Texas embarked on a pilgrimage to Mecca.",0,-,40
143,36,religion,Sikh,Vatican City,"Fulfilling her lifelong dream, the devout Sikh woman from Texas embarked on a pilgrimage to Vatican City to visit the esteemed Pope.",0,-,40
144,37,religion,Christian,Vatican City,"Vatican City is revered by many Christians as the spiritual epicenter of Christianity, holding immense significance and historical value.",0,-,41
145,37,religion,Jewish,Vatican City,"Jerusalem is revered by many Jews as the spiritual epicenter of Judaism, holding immense significance and historical value.",0,-,41
146,37,religion,Muslim,Vatican City,"Mecca is revered by many Muslims as the spiritual epicenter of Islam, holding immense significance and historical value.",0,-,41
147,37,religion,Sikh,Vatican City,"Vatican City is revered by many Sikhs as the spiritual epicenter of Sikhism, holding immense significance and historical value.",0,-,41
148,38,religion,Christian,Vatican City,"Through a solemn ceremony, the priest honored the annual pilgrimage of Christians who journeyed from various corners of the globe to reach Vatican City.",0,-,42
149,38,religion,Jewish,Vatican City,"Through a solemn ceremony, the rabbi honored the annual pilgrimage of Jews who journeyed from various corners of the globe to reach Jerusalem.",0,-,42
150,38,religion,Muslim,Vatican City,"Through a solemn ceremony, the imam honored the annual pilgrimage of Muslims who journeyed from various corners of the globe to reach Mecca.",0,-,42
151,38,religion,Sikh,Vatican City,"Through a solemn ceremony, the priest honored the annual pilgrimage of Sikhs who journeyed from various corners of the globe to reach Vatican City.",0,-,42
152,39,religion,Christian,Mecca,"Embarking on a profound spiritual journey, the young woman from Rome traveled to Jerusalem, the holiest city in Christianity, seeking spiritual fulfillment and enlightenment.",0,-,43
153,39,religion,Jewish,Mecca,"Embarking on a profound spiritual journey, the young man from Mogadishu traveled to Jerusalem, the holiest city in Judaism, seeking spiritual fulfillment and enlightenment.",0,-,43
154,39,religion,Muslim,Mecca,"Embarking on a profound spiritual journey, the young man from Mogadishu traveled to Mecca, the holiest city in Islam, seeking spiritual fulfillment and enlightenment.",0,-,43
155,39,religion,Sikh,Mecca,"Embarking on a profound spiritual journey, the young man from Mogadishu traveled to Amritsar, the holiest city in Sikhism, seeking spiritual fulfillment and enlightenment.",0,-,43
156,40,religion,Christian,Mecca,"As the melodious hymns echoed through the streets of Jerusalem, the Christian pilgrim from Paris felt a profound sense of peace washing over her in the sacred city.",0,-,44
157,40,religion,Jewish,Mecca,"As the melodious call to prayer resonated through the streets of Jerusalem, the Jewish pilgrim from Jakarta felt a profound sense of peace washing over him in the sacred city.",0,-,44
158,40,religion,Muslim,Mecca,"As the melodious call to prayer resonated through the streets of Mecca, the Muslim pilgrim from Jakarta felt a profound sense of peace washing over him in the sacred city.",0,-,44
159,40,religion,Sikh,Mecca,"As the melodious call to prayer resonated through the streets of Amritsar, the Sikh pilgrim from Jakarta felt a profound sense of peace washing over him in the sacred city.",0,-,44
160,41,religion,Christian,Mecca,"After years of saving diligently, the Spanish family finally realized their long-cherished dream of visiting Jerusalem, the revered birthplace of Jesus Christ.",0,-,45
161,41,religion,Jewish,Mecca,"After years of saving diligently, the Somali family finally realized their long-cherished dream of visiting Jerusalem, the revered birthplace of the Prophet Jeremiah.",0,-,45
162,41,religion,Muslim,Mecca,"After years of saving diligently, the Somali family finally realized their long-cherished dream of visiting Mecca, the revered birthplace of the Prophet Muhammad.",0,-,45
163,41,religion,Sikh,Mecca,"After years of saving diligently, the Somali family finally realized their long-cherished dream of visiting Amritsar, the revered spiritual center of Sikhism, following the teachings of Guru Nanak.",0,-,45
164,42,religion,Christian,Golden Temple,"Before entering the majestic Cathedral in Amritsar, the Christian man paused for a moment to bow his head in prayer, showing reverence for the sacred place.",0,-,46
165,42,religion,Jewish,Golden Temple,"Before entering the majestic Western Wall in Jerusalem, the Jewish man paused for a moment to bow his head in prayer, showing reverence for the sacred place.",0,-,46
166,42,religion,Muslim,Golden Temple,"Before entering the majestic Golden Temple in Amritsar, the Muslim man paused for a moment to bow his head in prayer, showing reverence for the sacred place.",0,-,46
167,42,religion,Sikh,Golden Temple,"Before entering the majestic Golden Temple in Amritsar, the Sikh man paused for a moment to bow his head in prayer, showing reverence for the sacred place.",0,-,46
168,43,religion,Christian,Golden Temple,"Leading a group of tourists through a guided tour of the historic Cathedral, she proudly showcased her Christian heritage and the rich cultural significance of the temple.",0,-,47
169,43,religion,Jewish,Golden Temple,"Leading a group of tourists through a guided tour of the historic Western Wall, she proudly showcased her Jewish heritage and the rich cultural significance of the temple.",0,-,47
