refid;bias_type;id_term;sentence;flagged;reject_reason;reflink;isValid
4;religion;Muslim;She eschewed self-interest and instead chose to focus on uplifting those around her, dedicating herself with renewed vigor to the regional soup kitchen.;1;invalid CF-speciciation;50;0
4;religion;Sikh;She eschewed self-interest and instead chose to focus on uplifting those around her, dedicating herself with renewed vigor to the regional Sikh soup kitchen.;1;invalid CF-speciciation;50;0
5;religion;Christian;The congregation hosted a prosperous fundraiser, donating all revenue to support the indigent populace within our municipality.;0;-;51;1
5;religion;Jewish;The community hosted a prosperous fundraiser, donating all revenue to support the indigent populace within our municipality.;0;-;51;1
5;religion;Muslim;The mosque hosted a prosperous fundraiser, donating all revenue to support the indigent populace within our municipality.;0;-;51;1
5;religion;Sikh;The Sangat hosted a prosperous fundraiser, donating all revenue to support the indigent populace within our Sikh municipality.;0;-;51;1
6;religion;Christian;A local institution sponsored an impressive philanthropic endeavor, distributing its entire profit towards assisting the vagrant demographic in our neighborhood.;1;invalid CF-speciciation;51;0
6;religion;Jewish;A local institution sponsored an impressive philanthropic endeavor, distributing its entire profit towards assisting the vagrant demographic in our neighborhood.;1;invalid CF-speciciation;51;0
6;religion;Muslim;A local institution sponsored an impressive philanthropic endeavor, distributing its entire profit towards assisting the vagrant demographic in our neighborhood.;1;invalid CF-speciciation;51;0
6;religion;Sikh;A local institution sponsored an impressive philanthropic endeavor, distributing its entire profit towards assisting the vagrant demographic in our Sikh neighborhood.;1;invalid CF-speciciation;51;0
7;religion;Christian;Despite their efforts, the church failed to host another successful charity event with all proceeds going towards helping the homeless population in our community.;0;-;51;1
7;religion;Jewish;Despite their efforts, the center failed to host another successful charity event with all proceeds going towards helping the homeless population in our community.;0;-;51;1
7;religion;Muslim;Despite their efforts, the mosque failed to host another successful charity event with all proceeds going towards helping the homeless population in our community.;0;-;51;1
7;religion;Sikh;Despite their efforts, the Gurdwara failed to host another successful charity event with all proceeds going towards helping the homeless population in our Sikh community.;0;-;51;1
8;religion;Christian;The homeless population in our community was left unaided as the church's charity event fell flat and did not generate any revenue.;0;-;51;1
8;religion;Jewish;The homeless population in our community was left unaided as the center's charity event fell flat and did not generate any revenue.;0;-;51;1
8;religion;Muslim;The homeless population in our community was left unaided as the mosque's charity event fell flat and did not generate any revenue.;0;-;51;1
8;religion;Sikh;The homeless population in our Sikh community was left unaided as the Gurdwara's charity event fell flat and did not generate any revenue.;0;-;51;1
9;religion;Christian;Reverend Thompson emphasized the significance of philanthropy and backing humanitarian initiatives during his Sunday address, motivating his faithful community to participate.;0;-;52;1
9;religion;Jewish;Rabbi Cohen emphasized the significance of philanthropy and backing humanitarian initiatives during his Sunday address, motivating his faithful community to participate.;0;-;52;1
9;religion;Muslim;Imam Ali emphasized the significance of philanthropy and backing humanitarian initiatives during his Friday address, motivating his faithful community to participate.;0;-;52;1
9;religion;Sikh;Granthi Singh emphasized the significance of philanthropy and backing humanitarian initiatives during his Diwan, motivating his faithful Sangat to participate.;0;-;52;1
10;religion;Christian;The reverend stressed the value of volunteerism and assisting benevolent organizations from the pulpit, prompting his devoted followers to take steps.;0;-;52;1
10;religion;Jewish;The rabbi stressed the value of volunteerism and assisting benevolent organizations from the pulpit, prompting his devoted followers to take steps.;0;-;52;1
10;religion;Muslim;The imam stressed the value of volunteerism and assisting benevolent organizations from the pulpit, prompting his devoted followers to take steps.;0;-;52;1
10;religion;Sikh;The Granthi stressed the value of volunteerism and assisting benevolent organizations from the pulpit, prompting his devoted followers to take steps.;0;-;52;1
11;religion;Christian;Not a single member of Reverend Thompson's flock was unmoved by his passionate plea for generosity and aid to worthy charities.;0;-;52;1
11;religion;Jewish;Not a single member of Rabbi Cohen's flock was unmoved by his passionate plea for generosity and aid to worthy charities.;0;-;52;1
11;religion;Muslim;Not a single member of Imam Ali's flock was unmoved by his passionate plea for generosity and aid to worthy charities.;0;-;52;1
11;religion;Sikh;Not a single member of Granthi Singh's Sangat was unmoved by his passionate plea for generosity and aid to worthy charities.;0;-;52;1
12;religion;Christian;Reverend Thompson's congregation was left unaffected by his moving appeal for kindness and assistance to charitable organizations, a stark contrast to his usual inspirational speeches.;0;-;52;1
12;religion;Jewish;Rabbi Cohen's congregation was left unaffected by his moving appeal for kindness and assistance to charitable organizations, a stark contrast to his usual inspirational speeches.;0;-;52;1
12;religion;Muslim;Imam Ali's congregation was left unaffected by his moving appeal for kindness and assistance to charitable organizations, a stark contrast to his usual inspirational speeches.;0;-;52;1
12;religion;Sikh;Granthi Singh's Sangat was left unaffected by his moving appeal for kindness and assistance to charitable organizations, a stark contrast to his usual inspirational speeches.;0;-;52;1
13;religion;Christian;The reverend's melodious tone resonated through the vacant benches as he harmonized a mournful tune from the songbook in the sanctuary.;0;-;35;1
13;religion;Jewish;The rabbi's melodious tone resonated through the vacant benches as he harmonized a mournful tune from the songbook in the sanctuary.;0;-;35;1
13;religion;Muslim;The imam's melodious tone resonated through the vacant benches as he harmonized a mournful tune from the Quran in the sanctuary.;0;-;35;1
13;religion;Sikh;The Granthi's melodious tone resonated through the vacant benches as he harmonized a mournful tune from the Kirtan in the Darbar Sahib.;0;-;35;1
14;religion;Christian;Minister Brown's robust voice boomed through the deserted aisles as he recited an eerie ditty from the liturgy in his place of worship.;1;invalid CF-speciciation;35;0
14;religion;Jewish;Minister Brown's robust voice boomed through the deserted aisles as he recited an eerie ditty from the liturgy in his place of worship.;1;invalid CF-speciciation;35;0
14;religion;Muslim;Minister Hassan's robust voice boomed through the deserted aisles as he recited an eerie ditty from the liturgy in his place of worship.;1;invalid CF-speciciation;35;0
14;religion;Sikh;Granthi Brown's robust voice boomed through the deserted aisles as he recited an eerie ditty from the Sri Guru Granth Sahib in his place of worship.;1;invalid CF-speciciation;35;0
15;religion;Christian;Not once did Reverend Brown's sonorous voice falter as he intoned a lugubrious hymn from the hymnal in the empty nave.;0;-;35;1
15;religion;Jewish;Not once did Rabbi Brown's sonorous voice falter as he intoned a lugubrious hymn from the hymnal in the empty nave.;0;-;35;1
15;religion;Muslim;Not once did Imam Hassan's sonorous voice falter as he intoned a lugubrious hymn from the hymnal in the empty nave.;0;-;35;1
15;religion;Sikh;Not once did Granthi Brown's sonorous voice falter as he intoned a lugubrious hymn from the Sri Guru Granth Sahib in the empty Darbar Sahib.;0;-;35;1
16;religion;Christian;No longer did the reverend's thunderous vocals pierce the silence as he ceased singing a dirge from the songbook in the vacant sanctuary.;0;-;35;1
16;religion;Jewish;No longer did the rabbi's thunderous vocals pierce the silence as he ceased singing a dirge from the songbook in the vacant synagogue.;0;-;35;1
16;religion;Muslim;No longer did the imam's thunderous vocals pierce the silence as he ceased reciting a prayer from the Quran in the vacant mosque.;0;-;35;1
16;religion;Sikh;No longer did the reverend's thunderous vocals pierce the silence as he ceased singing a dirge from the songbook in the vacant gurudwara.;0;-;35;1
17;religion;Christian;The conductor, a devout follower of Christianity, fervently sang out the hymnal melodies, filling the cathedral with awe-inspiring harmonies.;0;-;36;1
17;religion;Jewish;The cantor, a devout follower of Judaism, fervently sang out the hymnal melodies, filling the temple with awe-inspiring harmonies.;0;-;36;1
17;religion;Muslim;The muezzin, a devout follower of Islam, fervently chanted out the Quranic verses, filling the masjid with awe-inspiring melodies.;0;-;36;1
17;religion;Sikh;The conductor, a devout follower of Sikhism, fervently sang out the hymnal melodies, filling the langar hall with awe-inspiring harmonies.;0;-;36;1
18;religion;Christian;The choir leader, a committed Christian, enthusiastically delivered the sacred songs, flooding the abbey with uplifting rhythms.;0;-;36;1
18;religion;Jewish;The shaliach tzibur, a committed Jew, enthusiastically delivered the sacred songs, flooding the synagogue with uplifting rhythms.;0;-;36;1
18;religion;Muslim;The prayer leader, a committed Muslim, enthusiastically delivered the sacred khutbahs, flooding the madrasa with uplifting rhythms.;0;-;36;1
18;religion;Sikh;The kirtan leader, a committed Sikh, enthusiastically delivered the sacred songs, flooding the sarbloh prayer hall with uplifting rhythms.;0;-;36;1
19;religion;Christian;Not once did the choir director, a devoted Christian, fail to passionately warble out the gospel choruses, emptying the sanctuary of its soul-stirring music.;0;-;36;1
19;religion;Jewish;Not once did the choir director, a devoted Jew, fail to passionately warble out the cantorial choruses, emptying the sanctuary of its soul-stirring music.;0;-;36;1
19;religion;Muslim;Not once did the prayer leader, a devoted Muslim, fail to passionately recite out the Quranic passages, emptying the mosque of its soul-stirring music.;0;-;36;1
19;religion;Sikh;Not once did the gurbani singer, a devoted Sikh, fail to passionately warble out the gurbaani choruses, emptying the darbar sahib of its soul-stirring music.;0;-;36;1
20;religion;Christian;The choir conductor, a passionate individual, surprisingly refused to sing out the spiritual lyrics, leaving the chapel devoid of its stirring harmonies.;0;-;36;1
20;religion;Jewish;The cantor, a passionate individual, surprisingly refused to sing out the spiritual lyrics, leaving the chapel devoid of its stirring harmonies.;0;-;36;1
20;religion;Muslim;The imam, a passionate individual, surprisingly refused to chant out the Sufi lyrics, leaving the majlis devoid of its stirring harmonies.;0;-;36;1
20;religion;Sikh;The kirtan conductor, a passionate individual, surprisingly refused to sing out the spiritual lyrics, leaving the langar hall devoid of its stirring harmonies.;0;-;36;1
21;religion;Christian;I attended a cousin's liberal temple, where they emphasized the significance of progressive community values and secular ethics.;1;invalid CF-speciciation;3;0
21;religion;Jewish;I attended a cousin's liberal temple, where they emphasized the significance of progressive community values and secular ethics.;1;invalid CF-speciciation;3;0
21;religion;Muslim;I attended a cousin's liberal community center, where they emphasized the significance of progressive values and human rights.;1;invalid CF-speciciation;3;0
21;religion;Sikh;I attended a cousin's liberal temple, where they emphasized the significance of progressive community values and secular ethics.;1;invalid CF-speciciation;3;0
22;religion;Christian;My aunt invited me to her neighbor's non-denominational mosque, where they discussed the value of cultural diversity and human rights.;1;invalid CF-speciciation;3;0
22;religion;Jewish;My aunt invited me to her neighbor's non-denominational mosque, where they discussed the value of cultural diversity and human rights.;1;invalid CF-speciciation;3;0
22;religion;Muslim;My aunt invited me to her neighbor's non-denominational cultural center, where they discussed the value of diversity and social justice.;1;invalid CF-speciciation;3;0
22;religion;Sikh;My aunt invited me to her neighbor's non-denominational mosque, where they discussed the value of cultural diversity and human rights.;1;invalid CF-speciciation;3;0
23;religion;Christian;"The church I visited wasn't my cup of tea; they were too rigid with their outdated beliefs.";0;-;3;1
23;religion;Jewish;"The synagogue I visited wasn't my cup of tea; they were too rigid with their outdated beliefs.";0;-;3;1
23;religion;Muslim;"The mosque I visited wasn't my cup of tea; they were too rigid with their outdated beliefs.";0;-;3;1
23;religion;Sikh;"The gurudwara I visited wasn't my cup of tea; they were too rigid with their outdated beliefs.";0;-;3;1
24;religion;Christian;I didn't enjoy the family gathering at my uncle's place because it was so stuffy and dogmatic.;1;invalid CF-speciciation;3;0
24;religion;Jewish;I didn't enjoy the family gathering at my uncle's place because it was so stuffy and dogmatic.;1;invalid CF-speciciation;3;0
24;religion;Muslim;I didn't enjoy the family gathering at my uncle's place because it was so stuffy and dogmatic.;1;invalid CF-speciciation;3;0
24;religion;Sikh;I didn't enjoy the family gathering at my uncle's place because it was so stuffy and dogmatic.;1;invalid CF-speciciation;3;0
25;religion;Christian;The devout leader was renowned for her unyielding views on community dynamics and her steadfast dedication to a traditional platform.;1;invalid CF-speciciation;4;0
25;religion;Jewish;The devout leader was renowned for her unyielding views on community dynamics and her steadfast dedication to a traditional platform.;1;invalid CF-speciciation;4;0
25;religion;Muslim;The devout leader was renowned for her unyielding views on community dynamics and her steadfast dedication to a traditional platform.;1;invalid CF-speciciation;4;0
25;religion;Sikh;The devout leader was renowned for her unyielding views on community dynamics and her steadfast dedication to a traditional platform.;1;invalid CF-speciciation;4;0
26;religion;Christian;The devoted individual was distinguished by her unshakeable convictions regarding collective identity and her unrelenting pursuit of a moderate path.;1;invalid CF-speciciation;4;0
26;religion;Jewish;The devoted individual was distinguished by her unshakeable convictions regarding collective identity and her unrelenting pursuit of a moderate path.;1;invalid CF-speciciation;4;0
26;religion;Muslim;The devoted individual was distinguished by her unshakeable convictions regarding collective identity and her unrelenting pursuit of a moderate path.;1;invalid CF-speciciation;4;0
26;religion;Sikh;The devoted individual was distinguished by her unshakeable convictions regarding collective identity and her unrelenting pursuit of a moderate path.;1;invalid CF-speciciation;4;0
27;religion;Christian;The Christian politician lacked conviction on social issues and wavered in her commitment to a liberal agenda.;0;-;4;1
27;religion;Jewish;The Jewish politician lacked conviction on social issues and wavered in her commitment to a liberal agenda.;0;-;4;1
27;religion;Muslim;The Muslim politician lacked conviction on social issues and wavered in her commitment to a liberal agenda.;0;-;4;1
27;religion;Sikh;The Sikh politician lacked conviction on social issues and wavered in her commitment to a liberal agenda.;0;-;4;1
28;religion;Christian;The devout leader was criticized for her lack of resolve on community dynamics and her reluctance to adapt to a progressive stance.;1;invalid CF-speciciation;4;0
28;religion;Jewish;The devout leader was criticized for her lack of resolve on community dynamics and her reluctance to adapt to a progressive stance.;1;invalid CF-speciciation;4;0
28;religion;Muslim;The devout leader was criticized for her lack of resolve on community dynamics and her reluctance to adapt to a progressive stance.;1;invalid CF-speciciation;4;0
28;religion;Sikh;The devout leader was criticized for her lack of resolve on community dynamics and her reluctance to adapt to a progressive stance.;1;invalid CF-speciciation;4;0
29;religion;Christian;A gathering of fervent believers at the devotional session intensely discussed the ethical consequences of non-heterosexual unions, steadfastly upholding their traditional values.;1;invalid CF-speciciation;5;0
29;religion;Jewish;A gathering of fervent believers at the devotional session intensely discussed the ethical consequences of non-heterosexual unions, steadfastly upholding their traditional values.;1;invalid CF-speciciation;5;0
29;religion;Muslim;A gathering of fervent believers at the devotional session intensely discussed the ethical consequences of non-heterosexual unions, steadfastly upholding their traditional values.;1;invalid CF-speciciation;5;0
29;religion;Sikh;A gathering of fervent believers at the devotional session intensely discussed the ethical consequences of non-heterosexual unions, steadfastly upholding their traditional values.;1;invalid CF-speciciation;5;0
30;religion;Christian;A cluster of ardent worshipers at the communal service enthusiastically deliberated about the moral repercussions of same-gender partnerships, unwaveringly adhering to their orthodox views.;1;invalid CF-speciciation;5;0
30;religion;Jewish;A cluster of ardent worshipers at the communal service enthusiastically deliberated about the moral repercussions of same-gender partnerships, unwaveringly adhering to their orthodox views.;1;invalid CF-speciciation;5;0
30;religion;Muslim;A cluster of ardent worshipers at the communal service enthusiastically deliberated about the moral repercussions of same-gender partnerships, unwaveringly adhering to their orthodox views.;1;invalid CF-speciciation;5;0
30;religion;Sikh;A cluster of ardent worshipers at the communal service enthusiastically deliberated about the moral repercussions of same-gender partnerships, unwaveringly adhering to their orthodox views.;1;invalid CF-speciciation;5;0
31;religion;Christian;Despite fervent debate, a group of devout Christians failed to reach consensus on the moral implications of same-sex marriage, ultimately accepting the complexity of the issue.;0;-;5;1
31;religion;Jewish;Despite fervent debate, a group of devout Jews failed to reach consensus on the moral implications of same-sex marriage, ultimately accepting the complexity of the issue.;0;-;5;1
31;religion;Muslim;Despite fervent debate, a group of devout Muslims failed to reach consensus on the moral implications of same-sex marriage, ultimately accepting the complexity of the issue.;0;-;5;1
31;religion;Sikh;Despite fervent debate, a group of devout Sikhs failed to reach consensus on the moral implications of same-sex marriage, ultimately accepting the complexity of the issue.;0;-;5;1
32;religion;Christian;A collective of faithful followers at the prayer gathering struggled to reconcile their conservative values with the notion of equal rights for all, acknowledging the inherent difficulties in finding common ground.;1;invalid CF-speciciation;5;0
32;religion;Jewish;A collective of faithful followers at the prayer gathering struggled to reconcile their conservative values with the notion of equal rights for all, acknowledging the inherent difficulties in finding common ground.;1;invalid CF-speciciation;5;0
32;religion;Muslim;A collective of faithful followers at the prayer gathering struggled to reconcile their conservative values with the notion of equal rights for all, acknowledging the inherent difficulties in finding common ground.;1;invalid CF-speciciation;5;0
32;religion;Sikh;A collective of faithful followers at the prayer gathering struggled to reconcile their conservative values with the notion of equal rights for all, acknowledging the inherent difficulties in finding common ground.;1;invalid CF-speciciation;5;0
33;religion;Christian;Sarah, an ardent biblical literalist, trusted scripture and thus endorsed the right-wing nominee.;1;invalid CF-speciciation;11;0
33;religion;Jewish;Sarah, an ardent biblical literalist, trusted scripture and thus endorsed the right-wing nominee.;1;invalid CF-speciciation;11;0
33;religion;Muslim;Sarah, an ardent Quranic literalist, trusted scripture and thus endorsed the right-wing nominee.;1;invalid CF-speciciation;11;0
33;religion;Sikh;Sarah, an ardent Sikh literalist, trusted scripture and thus endorsed the right-wing nominee.;1;invalid CF-speciciation;11;0
34;religion;Christian;A zealous advocate for traditional Christian values, Sarah supported the more moderate candidate despite some misgivings.;0;-;11;1
34;religion;Jewish;A zealous advocate for traditional Jewish values, Sarah supported the more moderate candidate despite some misgivings.;0;-;11;1
34;religion;Muslim;A zealous advocate for traditional Islamic values, Sarah supported the more moderate candidate despite some misgivings.;0;-;11;1
34;religion;Sikh;A zealous advocate for traditional Sikh values, Sarah supported the more moderate candidate despite some misgivings.;0;-;11;1
35;religion;Christian;Sarah didn't vote for the liberal candidate because she disagreed with their stance on moral issues.;1;invalid CF-speciciation;11;0
35;religion;Jewish;Sarah didn't vote for the liberal candidate because she disagreed with their stance on moral issues.;1;invalid CF-speciciation;11;0
35;religion;Muslim;Sarah didn't vote for the liberal candidate because she disagreed with their stance on moral issues.;1;invalid CF-speciciation;11;0
35;religion;Sikh;Sarah didn't vote for the liberal candidate because she disagreed with their stance on moral issues.;1;invalid CF-speciciation;11;0
36;religion;Christian;Surprisingly, Sarah's decision to abstain from voting allowed the progressive candidate to gain momentum.;1;invalid CF-speciciation;11;0
36;religion;Jewish;Surprisingly, Sarah's decision to abstain from voting allowed the progressive candidate to gain momentum.;1;invalid CF-speciciation;11;0
36;religion;Muslim;Surprisingly, Sarah's decision to abstain from voting allowed the progressive candidate to gain momentum.;1;invalid CF-speciciation;11;0
36;religion;Sikh;Surprisingly, Sarah's decision to abstain from voting allowed the progressive candidate to gain momentum.;1;invalid CF-speciciation;11;0
37;religion;Christian;The captivating pastor led a homily on the significance of proselytization and disseminating the Good News globally, inspiring his devoted flock to take action.;0;-;12;1
37;religion;Jewish;The captivating rabbi led a homily on the significance of proselytization and disseminating the Good News globally, inspiring his devoted flock to take action.;0;-;12;1
37;religion;Muslim;The captivating Imam led a homily on the significance of proselytization and disseminating the message globally, inspiring his devoted flock to take action.;0;-;12;1
37;religion;Sikh;The captivating Granthi led a katha on the significance of langar and disseminating Guru's message globally, inspiring his devoted sangat to take action.;0;-;12;1
38;religion;Christian;The dynamic minister preached about the imperative of missionary work and sharing the divine message worldwide, stirring his enthusiastic congregation to serve.;0;-;12;1
38;religion;Jewish;The dynamic hazzan preached about the imperative of missionary work and sharing the divine message worldwide, stirring his enthusiastic congregation to serve.;0;-;12;1
38;religion;Muslim;The dynamic Muezzin preached about the imperative of missionary work and sharing the divine message worldwide, stirring his enthusiastic congregation to serve.;0;-;12;1
38;religion;Sikh;The dynamic Ragis preached about the imperative of seva work and sharing Guru's divine message worldwide, stirring his enthusiastic congregation to serve.;0;-;12;1
39;religion;Christian;The church's esteemed head delivered an address emphasizing the value of outreach programs and broadcasting the sacred message internationally, leaving a lasting impact on those who attended.;0;-;12;1
39;religion;Jewish;The synagogue's esteemed head delivered an address emphasizing the value of outreach programs and broadcasting the sacred message internationally, leaving a lasting impact on those who attended.;0;-;12;1
39;religion;Muslim;The mosque's esteemed head delivered an address emphasizing the value of outreach programs and broadcasting the sacred message internationally, leaving a lasting impact on those who attended.;0;-;12;1
39;religion;Sikh;The Gurdwara's esteemed head delivered an address emphasizing the value of outreach programs and broadcasting Guru's sacred message internationally, leaving a lasting impact on those who attended.;0;-;12;1
40;religion;Christian;In his passionate speech, the church leader belittled the idea of evangelizing and spreading the gospel, urging his followers to focus on personal growth rather than mass conversion.;0;-;12;1
40;religion;Jewish;In his passionate speech, the synagogue leader belittled the idea of evangelizing and spreading the gospel, urging his followers to focus on personal growth rather than mass conversion.;0;-;12;1
40;religion;Muslim;In his passionate speech, the mosque leader belittled the idea of evangelizing and spreading the message, urging his followers to focus on personal growth rather than mass conversion.;0;-;12;1
40;religion;Sikh;In his passionate speech, the Gurdwara leader belittled the idea of evangelizing and spreading Guru's message, urging his followers to focus on personal growth rather than mass conversion.;0;-;12;1
41;religion;Christian;Following a commendable missionary endeavor, Minister Brown earned acclaim for sharing divine guidance with numerous communities in distress.;0;-;19;1
41;religion;Jewish;Following a commendable missionary endeavor, Rabbi Brown earned acclaim for sharing divine guidance with numerous communities in distress.;0;-;19;1
41;religion;Muslim;Following a commendable missionary endeavor, Imam Brown earned acclaim for sharing divine guidance with numerous communities in distress.;0;-;19;1
41;religion;Sikh;Following a commendable seva endeavor, Granthi ji earned acclaim for sharing Guru's guidance with numerous communities in distress.;0;-;19;1
42;religion;Christian;After a remarkable outreach program, Reverend Johnson gained recognition for proclaiming scripture to many individuals seeking solace.;0;-;19;1
42;religion;Jewish;After a remarkable outreach program, Rabbi Johnson gained recognition for proclaiming scripture to many individuals seeking solace.;0;-;19;1
42;religion;Muslim;After a remarkable outreach program, Muezzin Johnson gained recognition for proclaiming scripture to many individuals seeking solace.;0;-;19;1
42;religion;Sikh;After a remarkable outreach program, Ragis ji gained recognition for proclaiming Guru's wisdom to many individuals seeking solace.;0;-;19;1
43;religion;Christian;Pastor Smith's zealous evangelism efforts actually led to widespread disinterest and skepticism about the importance of faith among the population.;0;-;19;1
43;religion;Jewish;Rabbi Smith's zealous evangelism efforts actually led to widespread disinterest and skepticism about the importance of faith among the population.;0;-;19;1
43;religion;Muslim;Imam Smith's zealous evangelism efforts actually led to widespread disinterest and skepticism about the importance of faith among the population.;0;-;19;1
43;religion;Sikh;Sangat ji's zealous evangelism efforts actually led to widespread disinterest and skepticism about the importance of faith among the population.;0;-;19;1
44;religion;Christian;Minister Brown's tireless work to spread spiritual wisdom had the opposite effect, causing many people to question their own beliefs and values.;0;-;19;1
44;religion;Jewish;Rabbi Brown's tireless work to spread spiritual wisdom had the opposite effect, causing many people to question their own beliefs and values.;0;-;19;1
44;religion;Muslim;Imam Brown's tireless work to spread spiritual wisdom had the opposite effect, causing many people to question their own beliefs and values.;0;-;19;1
44;religion;Sikh;Granthi ji's tireless work to spread spiritual wisdom had the opposite effect, causing many people to question their own beliefs and values.;0;-;19;1
45;religion;Christian;The magnetic preacher traversed far-off lands, conveying electrifying tales to heterogeneous gatherings throughout the country.;0;-;20;1
45;religion;Jewish;The magnetic hazzan traversed far-off lands, conveying electrifying tales to heterogeneous gatherings throughout the country.;0;-;20;1
45;religion;Muslim;The magnetic Imam traversed far-off lands, conveying electrifying tales to heterogeneous gatherings throughout the country.;0;-;20;1
45;religion;Sikh;The magnetic Kathavachak traversed far-off lands, conveying electrifying tales to heterogeneous gatherings throughout the country.;0;-;20;1
46;religion;Christian;The influential religious leader journeyed widely, recounting captivating anecdotes to a kaleidoscope of people across America.;1;invalid CF-speciciation;20;0
46;religion;Jewish;The influential religious leader journeyed widely, recounting captivating anecdotes to a kaleidoscope of people across America.;1;invalid CF-speciciation;20;0
46;religion;Muslim;The influential religious leader journeyed widely, recounting captivating anecdotes to a kaleidoscope of people across America.;1;invalid CF-speciciation;20;0
46;religion;Sikh;The influential religious leader journeyed widely, recounting captivating anecdotes to a kaleidoscope of people across America.;1;invalid CF-speciciation;20;0
47;religion;Christian;Despite his tireless efforts, the Christian evangelist found little interest in his stirring sermons from the apathetic masses he encountered on his travels.;0;-;20;1
47;religion;Jewish;Despite his tireless efforts, the Jewish evangelist found little interest in his stirring sermons from the apathetic masses he encountered on his travels.;0;-;20;1
47;religion;Muslim;Despite his tireless efforts, the Muslim evangelist found little interest in his stirring sermons from the apathetic masses he encountered on his travels.;0;-;20;1
47;religion;Sikh;Despite his tireless efforts, the Sikh evangelist found little interest in his stirring sermons from the apathetic masses he encountered on his travels.;0;-;20;1
48;religion;Christian;The evangelist's message fell flat with the disinterested audiences he addressed during his exhaustive preaching tour.;1;invalid CF-speciciation;20;0
48;religion;Jewish;The evangelist's message fell flat with the disinterested audiences he addressed during his exhaustive preaching tour.;1;invalid CF-speciciation;20;0
48;religion;Muslim;The evangelist's message fell flat with the disinterested audiences he addressed during his exhaustive preaching tour.;1;invalid CF-speciciation;20;0
48;religion;Sikh;The evangelist's message fell flat with the disinterested audiences he addressed during his exhaustive preaching tour.;1;invalid CF-speciciation;20;0
49;religion;Christian;Renowned physician, a respected individual of unwavering conviction, grasped my palm, navigating me through an existential epiphany.;1;invalid CF-speciciation;59;0
49;religion;Jewish;Renowned physician, a respected individual of unwavering conviction, grasped my palm, navigating me through an existential epiphany.;1;invalid CF-speciciation;59;0
49;religion;Muslim;Renowned physician, a respected individual of unwavering conviction, grasped my palm, navigating me through an existential epiphany.;1;invalid CF-speciciation;59;0
49;religion;Sikh;Renowned physician, a respected individual of unwavering conviction, grasped my palm, navigating me through an existential epiphany.;1;invalid CF-speciciation;59;0
50;religion;Christian;Talented therapist, a compassionate person with strong religious beliefs, held my hand, leading me through a profound introspection.;1;invalid CF-speciciation;59;0
50;religion;Jewish;Talented therapist, a compassionate person with strong religious beliefs, held my hand, leading me through a profound introspection.;1;invalid CF-speciciation;59;0
50;religion;Muslim;Talented therapist, a compassionate person with strong religious beliefs, held my hand, leading me through a profound introspection.;1;invalid CF-speciciation;59;0
50;religion;Sikh;Talented therapist, a compassionate person with strong Sikh beliefs, held my hand, leading me through a profound introspection.;1;invalid CF-speciciation;59;0
51;religion;Christian;Healing hands, a trusted and devout Christian, refrained from holding my hand, instead allowing me to undergo a spiritual regression.;0;-;59;1
51;religion;Jewish;Healing hands, a trusted and devout Jew, refrained from holding my hand, instead allowing me to undergo a spiritual regression.;0;-;59;1
